n03911767 penlight
n02725872 anvil
n07909954 curacoa
n04979002 aposematic_coloration
n02976350 casement
n02421136 addax
n04461570 towpath
n04390577 tank_top
n03149686 curbstone
n07924366 apple_juice
n02126640 margay
n04022434 pump_action
n07937461 couscous
n04006411 probe
n03071021 cologne
n11706942 red_bay
n01392380 amoeba
n12311579 syringa_vulgaris
n02700064 alternator
n04179126 sewerage
n04590263 windowsill
n02287799 cankerworm
n12307756 privet
n01608265 honey_buzzard
n02536456 chinook_salmon
n12855494 mentha_aquatica
n04127521 safety_razor
n02429456 antilocapra_americana
n07621618 garnish
n12236160 salal
n03663433 life_office
n07903543 applejack
n04541987 voting_booth
n04395651 tattoo
n03649161 lavalliere
n11898639 pennycress
n03989349 postern
n12793015 saxifrage
n09294877 grotto
n02988156 cd_drive
n02433318 dama_dama
n03625646 knitting_needle
n01714231 allosaurus
n07689842 rusk
n07818995 oregano
n02535759 landlocked_salmon
n03660562 liberty_ship
n02930645 byway
n12939874 hogweed
n03114839 cotter
n01736375 ground_snake
n07586099 marmite
n02852173 blinker
n02917607 bullnose
n11889619 candytuft
n03460297 grindstone
n03986562 porthole
n01892030 common_shrew
n10560106 schoolmate
n01693783 chamaeleon
n11885856 draba
n02424486 greater_kudu
n03323211 farmyard
n02854378 blockhouse
n07854707 string_cheese
n03181667 detention_house
n02566665 yellow_bass
n12898342 atropa_belladonna
n02881757 bowler_hat
n03788914 muumuu
n03844965 oil_slick
n04131208 beauty_shop
n04206790 shot_tower
n02070776 vaquita
n04466871 trail_bike
n02372952 rock_hyrax
n03723267 marquetry
n03602365 joss_house
n02416964 nanny
n13917785 truncated_cone
n12084890 stanhopea
n13111881 bonsai
n12726159 golden_willow
n03062985 coffee_can
n05526957 foreskin
n03993703 pound
n03849679 openwork
n07825850 apple_sauce
n02287004 geometrid
n12199790 brown_oak
n12275317 quercus_mongolica
n13884930 cuboid
n12903014 tamarillo
n03726516 mass_spectrometer
n07739035 windfall
n04181718 shade
n01647640 western_toad
n03262932 lounge_chair
n02782681 ballot_box
n03323096 farmstead
n02147947 pipistrelle
n03541393 hospital_train
n03164344 information_system
n03760310 microprocessor
n10509063 reading_teacher
n07936459 ice_water
n02795670 barrelhouse
n04096733 roadbed
n13013534 lepiota
n02592055 sheepshead
n02063662 right_whale
n03279508 electron_microscope
n01755740 timber_rattlesnake
n07897865 rioja
n09618957 face
n01462544 gastrula
n01906749 sponge
n01491006 blue_shark
n03446268 clubhead
n06359657 portal
n04282231 splicer
n03974070 pogo_stick
n07560652 fare
n04062807 reconnaissance_vehicle
n11760785 calliandra
n08644045 harborage
n03801533 vaudeville_theater
n09877951 brother
n03374372 fly_rod
n02540983 sparling
n02650541 searobin
n07770869 areca_nut
n05245192 lentigo
n04491638 trundle
n11625391 engelmann_spruce
n02596381 croaker
n04233715 slacks
n01368672 klebsiella
n04403925 telescopic_sight
n15092227 ergocalciferol
n04164868 secretaire
n12831535 columnea
n02132580 grizzly
n04335886 streetlight
n03672827 line_printer
n12613706 hydrilla
n03108853 cork
n12849416 henbit
n12407890 english_elm
n04532504 vestry
n07865484 chow_mein
n03517647 hideaway
n02080713 bearded_seal
n04050066 rake
n04450640 toner
n01554448 woodcreeper
n05244755 bacterial_plaque
n01749244 rinkhals
n04389430 tankard
n04403413 telephoto_lens
n04107984 roost
n03559531 identikit
n12801520 parnassia
n15091473 vitamin_b2
n01573627 cacique
n04483925 trimmer
n07775197 sunflower_seed
n06273555 call_in
n12981954 white_rust
n03340723 finder
n03266749 duvet
n02776825 balaclava
n11879722 brassica_napus
n03539678 horse_trail
n04520962 vaporiser
n04047139 railhead
n01927159 blood_fluke
n03848033 open_circuit
n07835921 bourguignon
n02748491 aspirator
n09305898 thermal_spring
n01996280 tadpole_shrimp
n02859955 boatyard
n04554998 washhouse
n04560113 water_heater
n03011018 chatelaine
n03875955 paintball_gun
n07576438 picnic
n02752810 telamon
n09361517 mountainside
n03219483 dollhouse
n04347119 subcompact
n07720084 sugar_beet
n04579056 whiskey_bottle
n03209910 floppy_disk
n02791665 barbican
n02027357 stint
n03426134 gasoline_tank
n08640962 rough
n03437941 girder
n12496427 chicot
n13908201 cleft
n13880551 right_triangle
n03549199 humvee
n02900160 bridle
n04602762 workroom
n03461988 groover
n04164757 second_hand
n02012185 least_bittern
n01884476 thylacine
n01894207 tenrec
n02256172 psyllid
n02692513 air_pump
n10341343 music_teacher
n03687137 loggia
n11611758 pinus_pinea
n12138248 kaoliang
n03463381 ground_floor
n03171228 defense_system
n04550676 wardroom
n03892178 parquet_floor
n01851573 greater_scaup
n03026907 chronograph
n04369618 sweatband
n03560430 igloo
n01396617 stentor
n03698360 lute
n02873623 boot_camp
n09270657 drumlin
n12732009 abele
n04045085 radio_transmitter
n02889996 brake_cylinder
n01982347 giant_crab
n12718995 quassia
n07681450 challah
n07687053 wafer
n03815149 necklet
n02084732 pooch
n02771004 backspacer
n03942920 pinhead
n04579230 whispering_gallery
n02585872 cichlid_fish
n12484784 bogbean
n07879953 tempura
n03103396 cooling_tower
n04439585 tine
n02539894 round_whitefish
n08521623 cemetery
n01533651 serin
n11722466 creeping_buttercup
n12351091 arrowroot
n01915811 coral
n00450070 horse_racing
n04272928 spectrophotometer
n07561590 dietary
n00480366 pelota
n05448704 myeloblast
n04074185 reliquary
n01979874 blue_crab
n04083800 retractor
n12365900 clusia
n04207763 shoulder_holster
n03482523 hand
n01576076 golden_oriole
n01917611 staghorn_coral
n04284572 sporran
n04532504 sacristy
n02378870 prancer
n12904938 boxthorn
n02184720 body_louse
n04525191 velveteen
n11902389 opium_poppy
n12393269 ramee
n01623110 barred_owl
n03625539 knitting_machine
n07914128 refresher
n04174234 serial_port
n04085017 reverse
n12663023 coffea_arabica
n12321873 shagbark_hickory
n03710528 mailer
n04037873 raceway
n01959492 tridacna_gigas
n03610682 peaked_cap
n04104770 romper
n07913882 tom_collins
n10151760 guitarist
n02132788 kodiak_bear
n03378442 foot
n02675522 achromatic_lens
n03549473 hunting_knife
n02332156 mus_musculus
n02270623 silverfish
n03637181 lamppost
n00466712 miniature_golf
n11598686 ephedra
n02557182 yellow_perch
n02824058 stein
n11603246 encephalartos
n02450677 beech_marten
n04563790 waterworks
n11610215 pinus_monophylla
n14976759 pantile
n11632167 cupressus_macrocarpa
n04250473 snips
n03321563 fanny_pack
n11542137 bog_moss
n05578095 heel
n04359034 supertanker
n07925327 lime_juice
n12671651 abelia
n07735404 parsnip
n09457979 tidal_basin
n04186051 shaving_cream
n03330947 hobble
n03888022 parabolic_reflector
n07814203 cinnamon
n07741357 pearmain
n02248887 soft_scale
n07817315 cilantro
n02780315 ball_bearing
n02191273 tsetse
n01915700 sea_pen
n03430418 gazebo
n12131405 blue_grass
n04506289 ukulele
n10618342 soccer_player
n02407390 holstein
n04240752 slipcover
n08677424 veld
n04419073 transit
n01809752 hoatzin
n03127203 crankcase
n03598151 jib
n03886762 paper_clip
n11902389 papaver_somniferum
n10164492 head_nurse
n02897097 bren_gun
n07621497 sabayon
n11628793 oregon_pine
n12755225 box_elder
n03603442 jungle_gym
n03082280 compound_microscope
n02499808 galago
n11711764 magnolia_virginiana
n01608814 black_kite
n12225563 australian_pine
n03367321 flophouse
n11974557 snakeweed
n07683360 bannock
n02894337 breakfast_table
n07613266 tiramisu
n03680512 loaner
n02761206 automation
n01829869 hoopoe
n03770316 ministry
n03205304 direction_finder
n04950952 woodgrain
n02822579 bedstead
n02338145 muskrat
n04389718 tank_destroyer
n01641206 wood_frog
n09331251 lakefront
n01732614 corn_snake
n04583212 fisheye_lens
n07711080 french_fries
n04200258 shoebox
n01804163 golden_pheasant
n11943660 ruddles
n02058594 wandering_albatross
n03244775 one_iron
n04384593 tailgate
n04542595 vox_humana
n12190410 ceiba_tree
n03176594 deodorant
n12594989 raffia_palm
n04509260 uneven_bars
n12131405 bluegrass
n11646694 araucaria_bidwillii
n03892425 parquetry
n04281260 spittoon
n02306825 eggar
n03119203 trading_post
n01929186 rotifer
n11998888 cotton_thistle
n01654637 xenopus_laevis
n04458201 torture_chamber
n03696301 roof_rack
n03233624 drawbar
n03173929 delivery_van
n12696492 neem
n07606669 jelly_bean
n13190747 dicksonia_antarctica
n03541269 hospital_ship
n03319745 family_room
n01623880 strix_occidentalis
n14900342 blood_agar
n03646148 lath
n02982599 catch
n02680512 adit
n03561573 imaret
n09279986 fireball
n12991184 reindeer_moss
n10421470 druggist
n12584365 areca_catechu
n12289310 corylus_americana
n12110236 wild_oat
n12646605 fuji
n03323319 farthingale
n02726210 apadana
n05491154 renal_cortex
n12449296 camas
n03465151 guard_ship
n03005285 pendent
n02868638 bombproof
n00288384 piaffe
n04288272 spring
n04047834 railroad_bed
n02731629 aqualung
n11849271 peyote
n12220829 lomatia
n01318279 hatchling
n04065909 recycling_plant
n12365462 calophyllum_inophyllum
n02244515 kissing_bug
n12890265 speedwell
n02526425 elver
n03684611 lockstitch
n07821610 estragon
n09260907 tillage
n03703945 mae_west
n12592058 nipa_palm
n03823111 nib
n04290259 gad
n02742753 arrow
n03782794 monkey_wrench
n07607967 troche
n03107488 cords
n12807409 american_plane
n02030224 reeve
n07909954 curacao
n03687928 longbow
n03499354 hatpin
n02485536 vervet
n03953901 placket
n03329663 ferryboat
n00440509 high_jump
n02380745 bronc
n12305819 blue_ash
n14973585 pantothenic_acid
n11773987 rose_bay
n01332181 marburg_virus
n04457767 torque_converter
n04397452 teacup
n03497352 hasp
n07847047 buttermilk
n02333546 brown_rat
n04488857 trouser_press
n01670802 giant_tortoise
n12489815 poinciana
n12421137 hippeastrum
n12523475 jacaranda
n03934656 pieta
n01323781 giant
n02925107 bushing
n08596076 littoral
n01615458 erne
n04000592 press_box
n03657511 leotard
n02379908 arabian
n04261638 sound_camera
n02426176 saiga
n02023855 piping_plover
n07590320 goulash
n03727465 master_bedroom
n01922948 woodworm
n03725600 mason_jar
n03899933 patisserie
n09436708 sky
n09208496 asterism
n09251407 comet
n02522399 cod
n02683558 afterburner
n01319001 stayer
n03871524 packaging
n12810595 phlox
n03174079 delta_wing
n01930852 ascaris_lumbricoides
n01612628 caracara
n04013176 proscenium
n03317889 faille
n15091129 thiamine
n00447540 grappling
n02990373 ceiling
n02460451 giant_anteater
n02129923 tigress
n03233744 lift_bridge
n04242084 slit_lamp
n03644378 lasso
n03844550 oil_pump
n04329681 storm_cellar
n07853762 grated_cheese
n01742821 rosy_boa
n01851895 wild_duck
n07616487 sundae
n02408817 carabao
n07904760 geneva
n03892178 parquet
n02801184 basilica
n12374418 rockrose
n02788572 baptistery
n04318787 stile
n04130907 sallet
n03855214 organza
n03367410 florist_shop
n02527271 moray_eel
n02202678 biting_midge
n10080869 male_parent
n04970312 tyrian_purple
n01823013 cuckoo
n04001661 pwr
n11615387 pinus_taeda
n04346428 pigpen
n03225108 dormitory_room
n04384910 rear_light
n12107710 meadow_foxtail
n12904314 henbane
n01439514 carp
n07846143 milk_powder
n12277578 quercus_robur
n04560292 watering_can
n02889996 master_cylinder
n04253057 snuffbox
n02424589 lesser_kudu
n03159535 dairy
n03104512 copperware
n02388276 trotting_horse
n03345837 fire_extinguisher
n03712111 main_rotor
n03522003 hippodrome
n11674332 inflorescence
n07804771 wild_rice
n03280394 electrostatic_machine
n12773651 caimito
n04114069 roundel
n04209811 showroom
n04041747 radio_antenna
n11838916 bougainvillea
n11717399 nelumbo_nucifera
n04172904 separate
n04335693 street_clothes
n12791064 philadelphus
n12872914 butterwort
n04462011 toy_box
n04393549 tapestry
n11697560 barberry
n03221059 half_mask
n12495895 honey_locust
n00480366 jai_alai
n09896685 carpenter
n04035748 quirt
n02435853 chevrotain
n01490670 lemon_shark
n01997825 ostracod
n02447021 spotted_skunk
n03317788 faience
n12184912 pavonia
n07601175 lemon_peel
n02266050 dobsonfly
n03180865 detached_house
n07886317 kava
n07888465 white_beer
n03680942 local
n04158002 scuttle
n07881404 tostada
n02749953 assembly
n01857325 brent_goose
n02389261 pinto
n04285965 sport_utility
n04492157 trunk_line
n02839592 billiard_parlor
n02382635 shetland_pony
n07860447 maple_syrup
n03813078 nave
n01990516 squilla
n12332030 pitanga
n12908093 nicotiana_rustica
n12643313 myrobalan
n04185804 electric_shaver
n03540914 hospital_bed
n01776705 ixodid
n00452034 bullfighting
n07828378 monosodium_glutamate
n01595974 house_martin
n03610524 doghouse
n04204081 shopping_bag
n01953361 cowrie
n03764822 milk_float
n07876189 sauerkraut
n12870891 wild_thyme
n04539053 vdu
n03436549 gift_wrapping
n12277578 english_oak
n02389559 donkey
n13003254 death_cap
n02177196 water_beetle
n03639497 land_line
n04280845 spirometer
n04540397 voltage_regulator
n04123228 sackcloth
n02831237 beret
n03549732 promenade_deck
n00453313 deer_hunt
n09415584 riverside
n12554526 locoweed
n04457910 torque_wrench
n03164929 davit
n03180865 single_dwelling
n04176295 servo
n04244379 penstock
n03305953 etd
n12729315 black_willow
n03088707 conductor
n02238594 lace_bug
n01697611 crocodylus_porosus
n07868508 frittata
n12642964 capulin
n03674270 link
n02884859 box_beam
n03267113 eight_ball
n11890022 woad
n13173488 leatherleaf
n02963987 cardroom
n03569494 inflator
n02688273 air_filter
n12585629 borassus_flabellifer
n03142431 crypt
n04062179 reciprocating_engine
n02125081 european_wildcat
n05467758 astrocyte
n08494231 funfair
n03129753 credence
n12196694 kurrajong
n07877675 steak_tartare
n07567139 food_colouring
n07700003 spaghetti
n12277578 pedunculate_oak
n04102162 rollerblade
n07690273 gem
n12466727 death_camas
n09932508 coal_miner
n13137951 bacca
n03776877 moccasin
n03244919 driving_wheel
n04176295 servomechanism
n01526521 songbird
n03228967 dovetail_joint
n02536456 king_salmon
n12491017 orchid_tree
n02992368 cellophane
n04185804 shaver
n12807251 london_plane
n03042139 clevis
n01625562 barn_owl
n02817031 bearing
n03467796 guitar_pick
n02966545 clawhammer
n04287898 spray_paint
n03724756 masjid
n11811921 maltese_cross
n03011741 checkout
n02339922 pack_rat
n02922578 burqa
n03474352 hacienda
n07770763 pumpkin_seed
n03456447 greasepaint
n07846359 evaporated_milk
n02868975 cupel
n08571898 flea_market
n03637787 lancet_arch
n12665048 bedstraw
n02778294 baldric
n02961035 caravansary
n12130549 timothy
n04472726 transmitter
n07842308 scrambled_eggs
n03529175 home_room
n07924276 nectar
n01806847 california_quail
n04104384 semicircular_arch
n04312154 steelyard
n04416005 testudo
n01750437 tiger_snake
n03603594 junk
n03332393 field_gun
n03331077 fez
n04556533 watch_case
n01678343 chuckwalla
n03200539 dining_hall
n04471148 transept
n01628770 caudate
n12757816 american_holly
n03885669 pantsuit
n07890617 kvass
n02157206 hexapod
n03001115 chain_store
n03718458 manor
n02771286 backstay
n13883763 spherical_triangle
n04265428 space_helmet
n03615790 khukuri
n07713074 aubergine
n02168427 glowworm
n03269073 electrical_contact
n03917048 periscope
n12844939 coleus
n12937130 daucus_carota
n09270735 sand_dune
n01756089 prairie_rattlesnake
n03228254 doublet
n08645212 weald
n02047045 pigeon_guillemot
n12870048 marum
n01790398 cornish
n12103894 shortgrass
n09210862 atoll
n04020912 pullman
n07852919 cheddar
n03483971 handcar
n02775039 baggage_car
n02208280 honeybee
n03152951 cutaway
n04370955 sweep
n07605040 cotton_candy
n15091846 folate
n12849952 english_lavender
n07823105 chutney
n02207345 queen_bee
n13154388 pinnule
n04245218 scsi
n15048888 spackle
n03326948 magic_marker
n03551582 hydraulic_pump
n15092751 naphthoquinone
n12730143 creeping_willow
n03413264 galvanometer
n02811350 batting_helmet
n02983357 catchment
n02524202 pollock
n03231819 dragunov
n03071552 colorimeter
n11626152 picea_sitchensis
n03801533 music_hall
n00444937 snorkeling
n04136161 saree
n02576906 crevalle_jack
n12146311 zoysia
n13079567 candida_albicans
n02324587 bunny
n02925385 bush_jacket
n01875313 common_opossum
n10772092 weather_forecaster
n09376526 sea_floor
n07907161 irish
n02389128 palomino
n03288742 english_horn
n03225108 dormitory
n03604156 nickelodeon
n02427576 lechwe
n04247876 snaffle
n07586485 oxtail_soup
n03270854 electric_blanket
n09913593 cheerleader
n12622875 agrimonia
n03258192 vacuum_bag
n03757604 metronome
n04482297 tricot
n04289576 spritsail
n03972372 poacher
n03617594 kinescope
n02962061 carboy
n02062744 whale
n03708962 magnetron
n01533893 crossbill
n06596607 pulp_magazine
n04455048 topknot
n09415671 riverbed
n02124623 wildcat
n01686044 racerunner
n07914777 spritzer
n03530189 homing_torpedo
n12340581 water_gum
n03031012 cigarette_case
n07569873 soybean_meal
n02382039 cayuse
n12865824 ramona
n02136452 fossa
n07588574 lentil_soup
n03628511 kremlin
n04171208 semaphore
n04184316 shantung
n02536456 chinook
n01319467 sea_creature
n07913644 bullshot
n11664418 ginkgo
n02750070 assembly_hall
n11725623 thimbleweed
n04280259 spiral_spring
n02848921 blank
n13128976 rachis
n01880473 potoroo
n04566756 weathercock
n12585629 palmyra_palm
n02146371 brown_bat
n02884994 box_camera
n04452615 toolbox
n02967626 underlay
n03325941 stetson
n02731629 scuba
n02763306 external_storage
n04247876 snaffle_bit
n03013006 chemical_reactor
n07738224 cling
n04561422 water_mill
n03124590 corral
n01594372 swallow
n11626826 red_spruce
n01815036 carrier_pigeon
n03459328 griddle
n04335886 street_lamp
n13171797 water_sprite
n04029734 pyrometer
n02699770 reredos
n11710136 southern_magnolia
n02666943 butchery
n03055857 remise
n08685188 zodiac
n00476235 stickball
n03796605 mudguard
n04398688 teaspoon
n07740033 cortland
n01563128 warbler
n07837545 cream_sauce
n03196990 dsl
n03161016 dampener
n06266973 rotogravure
n07870167 lasagne
n03856012 orphanage
n03381231 forceps
n04186268 shaving_foam
n03485309 hand_grenade
n02050809 dabchick
n04289449 sprit
n02700258 altimeter
n04950952 wood_grain
n03894051 particle_detector
n00470966 rugger
n03843438 oilcloth
n01698782 chinese_alligator
n02565072 smallmouth
n02315487 brachiopod
n03518135 highball_glass
n03903133 peavy
n12677612 snowberry
n03098688 control_room
n03745146 menagerie
n03039827 cleaners
n01386007 pathogen
n12725738 white_willow
n11717399 sacred_lotus
n04974859 ultramarine
n03853924 ordinary
n04278447 spinnaker
n12872458 bladderwort
n04006067 privateer
n12784371 roridula
n03206718 disguise
n07759576 scuppernong
n02880546 string
n07564515 macrobiotic_diet
n03356279 flail
n02390738 kiang
n02092173 staghound
n07894551 chablis
n02966545 claw_hammer
n02663211 turbot
n02180875 rove_beetle
n02926591 bustle
n01411450 chlorella
n11860555 bitterroot
n13880199 isosceles_triangle
n00441073 ski_jumping
n03194297 differential
n03991202 potbelly
n02234355 american_cockroach
n04126244 safety_lock
n06276697 broadcasting
n04328703 storage_ring
n09189157 aerie
n03212114 disposal
n04084889 revers
n11830906 saltbush
n03499907 hawaiian_guitar
n12340383 tupelo
n02585872 cichlid
n03307792 external_drive
n12823717 convolvulus
n03294604 eprom
n03618678 king_post
n07713074 eggplant
n04108822 rope_bridge
n11635830 alaska_cedar
n03821518 newel_post
n02843029 birch_bark
n12402596 pipal_tree
n04962062 ash_gray
n12338979 manna_gum
n09219233 berm
n09445008 steep
n05244934 macula
n07768230 bartlett
n12927494 candlenut
n03123917 cowbell
n01850873 canvasback
n03704834 magic_lantern
n04608923 xerox
n03439348 glebe_house
n03979377 polyester
n11944954 carduus_nutans
n12307240 jessamine
n03717447 manhole
n02378415 warhorse
n02823848 beer_hall
n02407390 friesian
n00482122 netball
n01849863 ruddy_duck
n03551395 hydraulic_press
n06273986 local_call
n01407798 green_algae
n03577090 integrated_circuit
n02093056 bull_terrier
n04137217 satchel
n03844233 oil_paint
n07919165 zombie
n04585318 wimple
n12968136 sclerotinia
n02450295 pine_marten
n06259898 channel
n03842585 ogee
n03488887 handstamp
n01679626 collared_lizard
n11954161 cirsium_arvense
n02675219 acetate
n10735173 typist
n02434190 woodland_caribou
n03123809 cow_barn
n02003204 marabou
n03986949 gladstone
n04102406 roller_coaster
n11598886 ephedra_sinica
n03561047 ignition_key
n02432511 mule_deer
n03181667 detention_camp
n03987376 portrait_lens
n03786313 morning_room
n02040266 stone_curlew
n12522894 sissoo
n02613181 combtooth_blenny
n07607361 licorice
n03567788 indiaman
n08551296 eparchy
n02563079 white_crappie
n03753077 meter
n04969798 aquamarine
n07938313 soul_food
n07918879 toddy
n04300643 stanchion
n02065726 humpback_whale
n10283170 major
n11759853 zaman
n02749670 assagai
n03334912 fifth_wheel
n12002428 butterbur
n03864139 overhand_knot
n01448594 rainbow_fish
n12449296 quamash
n03622839 knee_brace
n03422771 gas_engine
n04532831 vibes
n07924655 must
n09382099 oxbow
n02697221 a_line
n03174731 demitasse
n02343320 syrian_hamster
n03817191 negative
n06625062 encyclical
n03941231 pinata
n12550210 mucuna
n05244755 dental_plaque
n13150894 peperomia
n02776205 lure
n07822687 chili_powder
n03935234 pig_farm
n03391770 framework
n07928790 pepsi
n10562135 scorekeeper
n07642742 apple_butter
n04095109 ritz
n12126084 cultivated_rice
n02692086 airscrew
n03889726 parasail
n01539925 house_sparrow
n02705429 amphora
n01961985 pearl_oyster
n02117900 spotted_hyena
n02433729 roebuck
n02922578 burka
n02610373 bergall
n11857696 portulaca
n02173373 japanese_beetle
n03885028 scanty
n04403524 teleprompter
n02435853 mouse_deer
n02846733 black_box
n04131208 salon
n03720665 maquiladora
n01664990 hawkbill
n11692792 thistledown
n03772674 minuteman
n12482893 joshua_tree
n07854614 ricotta
n07584423 borscht
n03518305 tallboy
n07601686 candy_corn
n11666854 dicot
n03390327 daisy_cutter
n03950647 pitch_pipe
n12631331 avens
n02947977 candid_camera
n02947660 canal_boat
n04381073 tablespoon
n02749169 headache_powder
n01664990 hawksbill
n07852229 stilton
n04168840 seismograph
n01911063 scyphozoan
n02085272 lapdog
n03826039 niqab
n04963588 crimson
n02977438 cash_register
n12884260 toadflax
n02404432 longhorn
n02195819 bee_fly
n01577035 common_starling
n12523475 brazilian_rosewood
n07826653 anise
n12463743 bog_asphodel
n07617051 frozen_custard
n03518631 high
n13882276 hexagon
n01319467 marine_animal
n03610682 service_cap
n02970408 tote
n03628831 crumhorn
n05453657 neutrophil
n02379908 arab
n12052787 coelogyne
n11669786 floret
n01752585 adder
n01444339 electric_eel
n01664674 olive_ridley
n11845793 hedgehog_cactus
n03272239 electric_heater
n03914831 percale
n09361517 versant
n03809211 nard
n01495006 bonnethead
n07690273 muffin
n11616662 scots_pine
n01319685 bycatch
n02775039 luggage_van
n07839730 soubise
n13099999 deciduous_plant
n04453390 toothpick
n07855510 peanut_butter
n03543112 hot_pants
n03229244 joggle
n01424420 malaria_parasite
n04518643 valenciennes
n07859951 molasses
n04168199 segway
n12322099 mockernut_hickory
n04526964 ventilator
n12104238 tallgrass
n02879309 dress_shop
n03064350 coffer
n04146976 school_system
n02191273 tsetse_fly
n03445617 golf_bag
n04104147 rolodex
n03089753 conference_center
n04175574 service_club
n12877838 antirrhinum_majus
n04613939 zamboni
n03804211 nacelle
n09885866 furniture_maker
n01339083 hs1
n11622368 grand_fir
n04198562 shirtwaist
n04087709 ribbed_vault
n04324387 stock_room
n04340521 strobe_light
n02766168 babushka
n01931520 enterobius_vermicularis
n02136103 bearcat
n03329302 ferris_wheel
n04459018 toupee
n02908951 brussels_lace
n04001265 pressure_cooker
n03628215 koto
n04314522 sten_gun
n04131208 beauty_salon
n12905412 christmas_berry
n07760755 thompson_seedless
n12274358 bur_oak
n12524188 blackwood
n08256735 wedding
n07726525 mushy_peas
n07935288 hyson
n03768823 minelayer
n07709046 pulse
n12658308 rowan_tree
n01579729 chough
n04189092 sheet_bend
n02332156 house_mouse
n02689144 airframe
n11666854 dicotyledon
n02076402 crabeater_seal
n03667235 lighting
n02126028 jungle_cat
n04409384 tenement
n04201733 shooting_brake
n12303083 forsythia
n07745197 dewberry
n04492749 truss_bridge
n11821184 ice_plant
n02805845 bastinado
n04289195 sprinkler_system
n03779246 moire
n04533946 dvd
n09257843 cove
n09260907 farmland
n12737383 loranthaceae
n04141198 saxhorn
n07844786 sour_milk
n07857170 miso
n03938037 pillory
n07739923 baldwin
n12189987 adansonia_digitata
n03738066 player_piano
n03220237 portal_tomb
n04205505 short_sleeve
n03401279 fuel_injection
n12414329 iris_pallida
n02067240 cachalot
n01722998 pterosaur
n12059625 disa
n03263076 eaves
n03227010 double_glazing
n01856553 greylag_goose
n12741222 soapberry
n04529962 vertical_stabilizer
n04370288 sweatpants
n06415688 jotter
n04598318 woodshed
n03129753 credenza
n02619550 mudskipper
n03078670 commutator
n10041887 earner
n03640850 lanolin
n02382750 welsh_pony
n02607470 sergeant_major
n03426462 gastroscope
n01807828 grey_partridge
n03185868 dewar
n02379329 morgan
n03469903 gunny_sack
n07808479 chicken_salad
n02942349 camcorder
n02386968 clydesdale
n03615655 khimar
n03859608 outfall
n03272239 electric_fire
n12124818 lolium_perenne
n12683791 field_scabious
n09294877 grot
n02106854 police_dog
n11710136 bull_bay
n04448361 token
n02609302 bluehead
n12785889 stonecrop
n04384910 tail_lamp
n02419634 takin
n01668892 cooter
n02976455 casement_window
n03543254 hot_plate
n11931540 artemisia_vulgaris
n04210288 shrimper
n02377063 ridgling
n04592356 winepress
n03543394 hot_rod
n10443032 plumber
n07888465 wheat_beer
n02172518 scarab
n12734070 populus_tremuloides
n02786198 bandanna
n15092059 niacin
n04596492 witness_box
n12261808 american_beech
n02037464 phalarope
n07903841 cognac
n03811444 navigational_system
n12472024 clintonia
n03059103 coat_rack
n08521623 memorial_park
n01424420 plasmodium
n12320627 pignut
n02956393 capital_ship
n09215023 baryon
n04094060 ripcord
n11753355 red_clover
n10443032 pipe_fitter
n01570676 yellowthroat
n03524976 hogshead
n03855333 oriel
n02124484 manx
n07919787 decaf
n04497801 tuning_fork
n02482650 bonobo
n03643149 laryngoscope
n07756951 watermelon
n02758863 autobahn
n12121610 fescue
n03850053 operating_microscope
n03098959 control_tower
n04285965 suv
n02216740 gall_wasp
n00452864 beagling
n04513827 upholstery
n02931836 caber
n03730893 matting
n01701859 stegosaur
n02735361 arc_light
n04344734 studio_apartment
n03522100 hip_roof
n12263204 castanea_sativa
n11690455 flower_petal
n02957252 capstan
n12926039 hevea_brasiliensis
n03978421 polling_booth
n04063154 changer
n02775897 bailey_bridge
n03920867 pew
n04185804 electric_razor
n01596608 purple_martin
n02379183 quarter_horse
n07903962 grappa
n04067818 refectory
n07616748 banana_split
n03678879 driving_axle
n12475035 bellwort
n09270735 dune
n00470682 touch_football
n12723062 coville
n03335461 fig_leaf
n03553248 thermonuclear_bomb
n02433318 fallow_deer
n04225222 six_pack
n12320806 bitternut
n03036701 clack
n03053976 lounge_car
n11737534 pasqueflower
n02197185 medfly
n03392648 francis_turbine
n07904865 grog
n03826186 nissen_hut
n02551134 halfbeak
n12188635 thespesia_populnea
n02849885 blast_furnace
n01537895 ortolan
n13098962 bast
n11808299 sweet_william
n12521394 scotch_broom
n09308743 icecap
n12056217 slipper_orchid
n02213788 yellow_jacket
n01548492 western_kingbird
n09262690 dale
n03966976 pliers
n02805283 baster
n04349913 suction_cup
n07891189 near_beer
n00479734 fives
n03721590 marina
n12866459 salvia_divinorum
n09466678 uphill
n07890540 guinness
n02406533 brown_swiss
n01559477 hermit_thrush
n11978713 helianthus_annuus
n04449290 tollbooth
n03545470 houseboat
n04589593 window_frame
n03660124 levis
n03141327 cruise_liner
n04537436 virginal
n01643507 robber_frog
n03606251 junk_shop
n02367492 chinchilla
n02378541 cavalry_horse
n03325288 fauld
n04179126 sewer
n03652100 lead_pencil
n04213105 sickbay
n03256166 dumper
n01819115 cockatoo
n02359324 prairie_dog
n01919385 beroe
n07870069 souvlaki
n12522894 dalbergia_sissoo
n04091466 rigger
n02439398 okapi
n02870772 bookbindery
n12393269 ramie
n11621950 balsam_fir
n12031927 ironweed
n02919890 bungee
n04013600 proscenium_arch
n04164406 second_base
