n07594066 cake_mix
n04401828 telephone_cord
n03409920 gadgetry
n13150378 cubeb
n02530999 allis
n01637112 climbing_salamander
n12870891 wild_thyme
n03917048 periscope
n02961451 carbine
n03796974 muff
n12682411 teasel
n09858165 black_belt
n04095109 ritz
n04023422 punchboard
n03239607 drift_net
n07613815 jello
n12413880 iris_germanica
n02306825 egger
n13001206 toadstool
n04452757 toolshed
n12950126 valerian
n00483848 pallone
n12757816 american_holly
n02126139 serval
n11691857 lip
n04599124 woofer
n02600298 goatfish
n02064000 bowhead_whale
n01595624 martin
n12496949 logwood
n02413050 black_sheep
n02152881 quarry
n03198500 dildo
n04045644 rafter
n02945964 campaign_hat
n01559804 wood_thrush
n12754648 acer_campestre
n03205304 direction_finder
n05245192 freckle
n12305819 blue_ash
n02878425 boucle
n12508309 milk_vetch
n07561590 dietary
n02127482 lynx_rufus
n05526957 prepuce
n04590553 windscreen
n07815956 white_pepper
n04142175 scaler
n02709908 and_gate
n03904909 peeler
n02213788 yellow_jacket
n12201580 cacao
n03241335 drinking_fountain
n02027897 greenshank
n07914777 spritzer
n02761557 automobile_engine
n07577144 fish_fry
n03621694 kite_balloon
n04592356 winepress
n01847253 diving_duck
n04019881 pullback
n03856465 orrery
n01664990 hawksbill
n12651229 firethorn
n03364156 fin
n02967782 sweeper
n03225988 double_bed
n08628141 kasbah
n11785668 caladium
n02828427 belting
n02237581 capsid
n11890150 isatis_tinctoria
n04962062 silver
n04487894 troopship
n01714231 allosaurus
n04356925 sun_porch
n03141327 cruise_liner
n05260127 pageboy
n02776978 balalaika
n04131929 salver
n07775197 sunflower_seed
n02303284 cecropia
n03556173 i_beam
n03029445 churn
n04962062 ash_gray
n04324515 stocks
n01619835 andean_condor
n02085019 feist
n02118643 vixen
n12604460 rumex_acetosella
n01586941 mockingbird
n09308743 ice_cap
n07768318 seckel
n12735160 santalum_album
n03968728 plumb
n04182152 shadow_box
n11753355 red_clover
n01424420 malaria_parasite
n01693783 chameleon
n04378489 tabard
n03158668 dado
n04103094 rolling_mill
n01943087 ormer
n03369276 flugelhorn
n12876899 figwort
n12199790 booyong
n04272928 spectrophotometer
n12104238 tallgrass
n07617708 plum_pudding
n03646809 latrine
n07591586 bouillabaisse
n08256735 wedding
n02834642 bicorn
n01316422 scavenger
n09461069 trapezium
n07896765 moselle
n10707233 healer
n12753245 acer_saccharum
n03145277 cuddy
n03957315 planter
n01819115 cockatoo
n04962062 silver_gray
n04183329 shaker
n04584056 wiffle
n02941845 aventail
n07766723 marang
n02735361 arc_light
n02831595 bermuda_shorts
n12143215 emmer
n01857325 brent_goose
n04082344 resuscitator
n03577312 integrator
n04375405 rotary
n04130907 sallet
n03089753 conference_center
n03620353 kitchenette
n04347119 subcompact
n07852919 cheddar_cheese
n03089753 conference_house
n03923379 vial
n02759387 autogyro
n01999767 velvet_worm
n04255499 socle
n02474777 homo_sapiens
n12126084 cultivated_rice
n03250588 smoother
n02581482 mackerel_scad
n07806043 cat_food
n02244173 assassin_bug
n04532831 vibes
n03170292 decoupage
n00483705 real_tennis
n07847917 light_cream
n12084890 stanhopea
n03345837 extinguisher
n03644378 lasso
n07895595 chianti
n01732614 corn_snake
n12691428 bursera_microphylla
n03999160 presbytery
n03239054 full_dress
n06618653 spaghetti_western
n04574067 wet_suit
n14942411 lodestone
n13238375 stapelia
n04529108 vernier
n02898585 bridal_gown
n14858292 litter
n09245515 corrie
n04367371 suture
n02307910 lappet
n03770085 minicar
n09269472 downhill
n04288272 spring
n02983357 catchment
n03063199 coffee_filter
n11552133 cryptogam
n07928367 ginger_ale
n01686044 racerunner
n03319745 family_room
n07895839 merlot
n02901114 briefs
n02157206 hexapod
n04062807 reconnaissance_vehicle
n03795976 movie_projector
n01649170 spadefoot
n07930062 fruit_punch
n12988158 lecanora
n03824999 nightshirt
n04285803 athletic_wear
n02963987 cardroom
n03972372 poacher
n02460451 giant_anteater
n09283405 foothill
n03147280 culvert
n02392434 indian_rhinoceros
n02070776 vaquita
n02190790 housefly
n04310604 steam_turbine
n02678897 adapter
n02669295 abutment
n07829248 cider_vinegar
n12338146 spotted_gum
n04401680 call_box
n04613939 zamboni
n07683490 chapati
n03039259 clay_pigeon
n01687128 teju
n02660519 atlantic_halibut
n01825278 turaco
n04057215 razorblade
n04529962 tailfin
n02808185 bath_salts
n01814549 squab
n01856553 greylag
n07906572 blended_whiskey
n04236935 cascabel
n11984542 inula
n07721325 hot_pepper
n02129923 tigress
n02584145 cardinal_tetra
n04596492 witness_box
n12765846 spondias_mombin
n03300216 ethernet
n04582205 wickerwork
n12269241 live_oak
n03330665 festoon
n07860629 manna
n02778294 baldric
n02802544 basketball_court
n11612575 pinus_longaeva
n12649317 japanese_cherry
n03724066 mascara
n12274358 bur_oak
n12592058 nipa_palm
n01667432 musk_turtle
n04495555 tudor_arch
n04539794 voile
n02689434 jackhammer
n01652026 chorus_frog
n03536122 tailplane
n07749192 navel_orange
n03931980 picture_rail
n07768139 anjou
n03585438 chains
n02878107 bottling_plant
n05242928 squamous_cell
n10509063 reading_teacher
n03870105 pace_car
n04069166 reflectometer
n07574176 potluck
n03436549 gift_wrapping
n09270657 drumlin
n01690149 slowworm
n03465500 guarnerius
n02861286 bodega
n02527271 moray_eel
n03072201 colour_tv
n01632308 mole_salamander
n03809211 spikenard
n05459457 leydig_cell
n04206356 shotgun
n02775039 luggage_van
n04030846 quadrant
n02879309 dress_shop
n06596607 pulp
n04350581 sugar_bowl
n07836077 brown_sauce
n03469903 gunny_sack
n02843158 birdbath
n11532682 volva
n12647376 bird_cherry
n02024479 golden_plover
n07617051 frozen_custard
n07618119 duff
n11761650 inga
n02538216 speckled_trout
n13198054 fiddlehead
n04040247 radial
n03637181 lamppost
n11828973 allgood
n03313333 frontal
n12729315 black_willow
n01744270 indian_python
n04590021 window_seat
n02874537 bootlace
n10304914 medal_winner
n03017835 chimney_corner
n12070016 laelia
n11723452 wolfsbane
n03423306 gas_gun
n12675876 japanese_honeysuckle
n03271260 electric_clock
n02951703 canopic_jar
n07579917 adobo
n03019806 chin_strap
n04567593 weather_satellite
n02387254 farm_horse
n01592694 tomtit
n02723165 antiperspirant
n03601442 jdam
n02545841 opah
n04082562 retainer
n03424630 gasoline_engine
n03489048 hand_throttle
n02856237 blunderbuss
n04409806 tennis_racquet
n12322099 mockernut
n03368352 flowerbed
n02490811 pygmy_marmoset
n04502851 .22
n02339922 pack_rat
n04398951 tea_table
n02782778 ballpark
n02530421 shad
n02067240 cachalot
n03467796 guitar_pick
n13895262 belly
n02813252 bay_rum
n04410886 tensiometer
n12612170 water_plantain
n02300554 bombyx_mori
n03071552 colorimeter
n03753077 meter
n04419642 theremin
n03617594 picture_tube
n02931836 caber
n07684164 matzo
n02184720 cootie
n02409038 anoa
n03885028 panty
n03029197 church_tower
n01528845 meadow_pipit
n02814116 bb_gun
n07591162 oyster_stew
n07736692 spinach
n03577312 planimeter
n02470238 simian
n04070964 refrigerator_car
n07905474 schnapps
n04005197 priory
n02461128 tamandua
n03886053 panzer
n07909714 galliano
n12590715 palm_kernel
n07921360 chocolate_milk
n11622184 fraser_fir
n12023726 tansy
n04439585 tine
n04414476 terrycloth
n13107694 timber_tree
n07925500 tomato_juice
n04126066 safety_bicycle
n01577941 crested_myna
n03732543 maxim_gun
n03229526 downstage
n07847047 buttermilk
n12590232 oil_palm
n03146846 tiller
n02003204 marabout
n12253229 epacris
n04351550 rooms
n04317063 sternwheeler
n01570676 yellowthroat
n01817346 poll
n07685918 black_bread
n02487547 rhesus_monkey
n07700003 spaghetti
n02746595 artillery_shell
n04141712 staging
n14698884 crushed_rock
n02878628 boule
n02574271 cobia
n01632601 tiger_salamander
n04167346 seeder
n02128598 leopardess
n03935234 pig_farm
n03801760 music_stand
n03026907 chronograph
n12072722 masdevallia
n04462011 toy_box
n02745492 artificial_heart
n01783017 myriapod
n04257986 photovoltaic_cell
n06273414 call_forwarding
n04205505 short_sleeve
n04000592 press_box
n09877951 sidekick
n03781594 moneybag
n02450677 beech_marten
n09428628 seaboard
n04038338 single_shell
n02065726 humpback
n03402941 funeral_parlor
n12312728 kangaroo_paw
n04555291 washroom
n07592481 beef_stew
n03415252 brolly
n11676850 gynophore
n04607869 wristwatch
n10304914 medallist
n11622591 subalpine_fir
n04290762 spy_satellite
n02961225 car_battery
n09300905 hail
n07906572 blended_whisky
n04370600 sweatshop
n03041810 clerestory
n00120010 hop
n03193597 diesel_locomotive
n02907656 peacemaker
n13894154 rut
n04131208 beauty_parlour
n04524594 velcro
n07768068 bosc
n04403524 teleprompter
n03164929 davit
n11598686 ephedra
n02881757 bowler_hat
n11719286 peony
n04597309 woodcarving
n06267758 school_paper
n12428076 martagon
n03055857 coach_house
n07686634 simnel
n12625383 cotoneaster
n04210288 shrimper
n07826653 anise
n08539072 downtown
n11690254 hypanthium
n12522894 dalbergia_sissoo
n12877244 snapdragon
n09260907 ploughland
n03297226 espalier
n03069752 college
n07619004 custard
n01847978 black_duck
n07813579 seasoned_salt
n07687053 wafer
n11686912 sporophyte
n07934800 darjeeling
n03141327 cruise_ship
n03823312 nicad
n03440682 glockenspiel
n07820297 rue
n09896685 carpenter
n02377291 stud
n04475309 trap_door
n02730568 fitting
n11793779 arum_lily
n11761836 inga_edulis
n15019030 sand
n04035836 quiver
n04118635 ruin
n02994573 center_punch
n04164757 second_hand
n02869563 boneshaker
n03824284 nightcap
n12973443 mucor
n07938313 soul_food
n03847471 onion_dome
n12133682 bluestem
n13032923 verpa
n02009380 snowy_egret
n03811444 navigational_system
n05482922 subarachnoid_space
n07846802 whole_milk
n03043693 clinker
n07744811 blackberry
n03621377 kitchenware
n12704041 oca
n03751590 messuage
n04265904 space_rocket
n11905392 california_poppy
n04459018 toupee
n02871314 bookmobile
n02072493 narwhal
n01441117 dace
n04369282 flyswatter
n03323319 farthingale
n02378870 prancer
n03052917 clout
n13884930 cuboid
n11628456 douglas_fir
n01947139 neritina
n03616763 kick_starter
n03127531 crash_barrier
n04129766 sailor_suit
n02372952 rock_hyrax
n03844965 oil_slick
n15092650 biotin
n07881205 quesadilla
n03981760 pontoon_bridge
n07722888 purple_onion
n02413717 lincoln
n02147947 pipistrel
n11737125 nigella_sativa
n04459122 tourer
n09415671 riverbed
n03124590 corral
n03543012 hot_line
n03086580 concert_hall
n07803992 wheat_germ
n12392549 urtica_dioica
n04409911 tenon
n07691650 croissant
n03533014 hookah
n01668892 river_cooter
n04045644 baulk
n01664990 eretmochelys_imbricata
n03140292 crucifix
n02338145 musquash
n02419634 takin
n04192361 sheltered_workshop
n02763306 secondary_storage
n01852400 mandarin_duck
n03817191 negative
n12939874 cow_parsnip
n11902389 opium_poppy
n03548533 hulk
n04387400 tambourine
n02682569 aerator
n03632100 lacrosse_ball
n03239054 white_tie
n07907161 irish
n02921592 burette
n03155502 cyclopean_masonry
n03370387 fluorescent_lamp
n02917377 bullhorn
n02859955 boatyard
n12696492 neem
n02565324 largemouth
n04470741 skin_patch
n04141198 saxhorn
n04262161 soundboard
n03390075 foxhole
n03718458 manor_house
n11756870 acacia_auriculiformis
n03072201 color_tv
n02680512 adit
n02519472 brown_bullhead
n06276902 rediffusion
n03445326 gold_plate
n03063485 coffee_mill
n03657239 iol
n13225365 resurrection_plant
n12733870 quaking_aspen
n11620016 siberian_larch
n01904886 oyster_shell
n02968074 carport
n04326676 stoneware
n07931612 white_russian
n07576969 clambake
n07901355 marsala
n04310507 steam_shovel
n03745571 menhir
n03900393 pave
n02898585 wedding_dress
n02276355 red_admiral
n02210427 andrena
n08633683 waterfront
n07690273 gem
n12831535 columnea
n11616852 pinus_virginiana
n04975739 complementary_color
n12038898 rampion
n07893642 bubbly
n03660562 liberty_ship
n02132580 silvertip
n02931294 cabana
n01613807 eaglet
n03556679 piolet
n07697699 sloppy_joe
n03342015 fingerpaint
n04247876 snaffle
n03797896 mulch
n02877642 bottlebrush
n12991184 reindeer_moss
n07902799 aquavit
n04298661 stairwell
n02030035 ruff
n03256631 dunce_cap
n02433318 dama_dama
n04075813 repp
n03821518 newel_post
n12663359 robusta_coffee
n12939874 hogweed
n03744684 memory_chip
n07693048 cinnamon_roll
n02879087 bouquet
n12677612 snowberry
n04085017 reverse_gear
n03055857 remise
n03332591 field_coil
n03920641 pet_shop
n04353573 sulky
n01379389 staph
n02282903 hairstreak
n04492749 truss_bridge
n03818343 neon_tube
n01495701 ray
n07609215 sugar_candy
n12245319 azalea
n03563460 impeller
n03305953 etd
n09398677 precipice
n04607242 wringer
n04189651 sheet_pile
n04964878 maroon
n02411206 musk_ox
n11756669 wattle
n11844371 sahuaro
n12843557 lesser_calamint
n04967674 sea_green
n02825961 bell_gable
n02979516 cassock
n12163035 briony
n01573240 eastern_meadowlark
n12905135 lycium_barbarum
n11985053 iva
n03033267 circlet
n08782627 aegean_island
n07575076 luncheon
n11609475 pinyon
n04026180 purl
n02763604 aviary
n07904293 slivovitz
n12340581 water_gum
n07886317 kava
n02150134 mastiff_bat
n02451415 tayra
n03401129 fuel_gauge
n11646955 hoop_pine
n04393808 tappet
n07866015 croquette
n03629100 kurdistan
n04368496 swallowtail
n03899933 patisserie
n03089879 conference_room
n11683838 nectary
n04355511 sundress
n02240517 chinch
n09618880 ex_president
n03628215 koto
n02202678 punkie
n03251280 dry_cell
n02748491 aspirator
n04294614 stabilizer_bar
n04110178 rose_window
n07807922 fruit_salad
n02058747 gooney
n07693223 schnecken
n12513613 judas_tree
n07825850 apple_sauce
n03474779 hacksaw
n01797601 sage_grouse
n02795670 barrelhouse
n01597906 western_tanager
n07643891 orange_marmalade
n07842308 scrambled_eggs
n07869391 hash
n02405440 banteng
n11916696 achillea_millefolium
n11882426 toothwort
n11690455 petal
n07904637 sloe_gin
n02919890 bungee_cord
n02513939 spawner
n04371979 swing_door
n13038068 gyromitra_esculenta
n03669534 limekiln
n13081999 dry_rot
n04550676 wardroom
n01836673 poorwill
n02027357 stint
n03256032 dumpster
n12073991 odontoglossum
n02895438 breathalyzer
n02930645 byway
n03660124 levis
n02776205 lure
n03545470 houseboat
n03829857 norfolk_jacket
n02047411 common_murre
n11632619 cupressus_sempervirens
n01617766 egyptian_vulture
n13917690 truncated_pyramid
n04359500 supply_closet
n03268918 electrical_cable
n12122725 yorkshire_fog
n02332156 house_mouse
n11615387 pinus_taeda
n12281788 yellow_birch
n02093056 bull_terrier
n04114428 roundhouse
n02666943 abattoir
n04132603 shamisen
n13911045 node
n12285049 grey_alder
n04295571 stacks
n07852833 camembert
n02579928 permit
n09894445 heart_surgeon
n04955160 burnish
n12849416 henbit
n01551711 manakin
n04967801 sage_green
n03723439 marriage_bed
n03044801 clip_on
n02127482 bobcat
n11712282 tulip_tree
n04529962 vertical_stabilizer
n04354487 sump_pump
n12602612 wild_buckwheat
n02687423 aircraft_engine
n03195332 digester
n04538249 viscometer
n04003359 prince_albert
n03072201 colour_television
n03825271 ninepin
n02901481 brigandine
n03460297 grindstone
n10634849 speedskater
n04232312 skybox
n01560793 stonechat
n02564720 black_bass
n07913882 tom_collins
n10655594 flight_attendant
n02752199 athenaeum
n13108481 sapling
n03062336 cocotte
n03912821 penthouse
n12139575 cordgrass
n07567139 food_color
n01841943 piculet
n03890514 totalisator
n03333349 field_hospital
n07729225 butterbean
n02658531 plaice
n02864593 bollard
n12762896 sumach
n12173069 velvetleaf
n00448232 sumo
n07822197 catsup
n02414290 merino
n01504344 nestling
n07854982 emmentaler
n03125057 cpu_board
n03253279 duckpin
n07886176 hooch
n12782915 dionaea_muscipula
n03901750 pawn
n01925270 planarian
n02762169 automatic_pilot
n07738224 clingstone
n12176953 upland_cotton
n02960903 carafe
n07605804 panoche
n02305929 cinnabar
n03316105 facsimile
n03075634 combine
n03122295 prairie_schooner
n01959492 tridacna_gigas
n01480106 placoderm
n11694469 ilama
n01319467 marine_animal
n03907908 penalty_box
n03906463 pelham
n07852302 roquefort
n08521623 burial_site
n03774461 mitre
n03844673 oil_refinery
n01615458 erne
n01537895 ortolan
n01449374 mosquitofish
n02005399 shoebill
n07575392 high_tea
n07577918 tea_break
n04290615 sputnik
n07608980 rock_candy
n03500090 hawse
n07589543 brunswick_stew
n07767549 black_olive
n07803213 pearl_barley
n01857325 brant_goose
n11636204 japanese_cedar
n07876893 scrapple
n04001661 pwr
n03340723 finder
n02181477 mealworm
n08500989 interstellar_space
n03635330 lame
n03996004 power_pack
n09251407 comet
n02916179 bulldozer
n01446760 killifish
n07828378 msg
n02227247 migratory_locust
n12127575 broomcorn_millet
n02875948 borstal
n03594148 javelin
n03517760 hi_fi
n12121610 fescue
n07926442 orangeade
n04021164 pull_through
n12640839 mei
n02701730 american_organ
n04598318 woodshed
n03041449 cleats
n03353951 fixative
n07643200 strawberry_jam
n04187233 overlay
n04149083 scoop
n07853445 edam
n02288268 looper
n03918737 pda
n12566954 kudzu
n04113038 rouleau
n07899660 verdicchio
n12056217 slipper_orchid
n01927456 tapeworm
n02486657 chacma_baboon
n02585872 cichlid
n03180732 destroyer_escort
n08539276 outskirts
n02566665 yellow_bass
n10316862 military_leader
n03989777 post_horn
n03343047 fin_keel
n09405078 rangeland
n04233124 skyscraper
n03571439 injector
n02648625 greenling
n03331077 fez
n11783920 anthurium
n12194147 silkwood
n11793779 calla_lily
n01448594 rainbow_fish
n12691428 elephant_tree
n09309168 floe
n03413684 gambrel
n07822053 caper
n01533000 purple_finch
n04239333 sliding_window
n07935288 hyson
n13150894 peperomia
n03105306 coracle
n04127521 safety_razor
n03855756 orlon
n02054502 darter
n02509515 coati
n02216365 mud_dauber
n07599911 peanut_brittle
n12352639 musa_acuminata
n04955160 polish
n01519563 cassowary
n14867545 fish_meal
n01481331 chimaera
n12766595 poison_sumac
n03361380 fpd
n03200539 dining_hall
n04431745 pushpin
n04125257 deposit_box
n01350226 bacillus_anthracis
n00464478 water_polo
n07698401 blt
n04555600 washtub
n04314522 sten_gun
n01368672 klebsiella
n12836862 phacelia
n03647423 launch
n11773987 rose_bay
n00466273 professional_golf
n04447028 toilet_bowl
n07759576 scuppernong
n03250588 sander
n07759194 concord_grape
n07927716 birch_beer
n03887512 paper_mill
n11552806 annual
n03516996 superheterodyne_receiver
n01806847 california_quail
n02333909 black_rat
n04567746 weather_ship
n02062744 whale
n10147710 grocer
n03758894 microbalance
n09233446 canon
n04587327 windjammer
n04968139 olive_green
n04614844 zill
n04021503 pulse_generator
n04450640 toner
n04357930 supercharger
n02202678 punky
n01812662 rock_dove
n02361587 woodchuck
n01319685 by_catch
n02287004 geometrid_moth
n03456447 greasepaint
n11728945 black_cohosh
n03716228 mammogram
n02801184 basilica
n07803310 buckwheat
n07560542 kosher
n07874259 cheese_pizza
n03131967 cricket_ball
n12220829 lomatia
n03170872 deerstalker
n13003254 death_cap
n09899289 cashier
n02047045 pigeon_guillemot
n03602081 jolly
n04590263 windowsill
n02080146 harp_seal
n12983048 phytophthora_infestans
n03858183 otoscope
n04310721 steam_whistle
n04410565 tenpin
n02803666 bass_drum
n03997875 praetorium
n02904927 brogan
n02129463 lioness
n07765208 elderberry
n02009508 little_egret
n03070193 collider
n04585318 wimple
n03615655 khimar
n03143400 crystal_detector
n04295353 stabling
n02411999 ewe
n04560292 watering_can
n03318136 fairlead
n07902937 arak
n05399356 colostrum
n03344305 fire_bell
n03367410 florist
n04171208 semaphore
n02756977 audiocassette
n04322801 stock_car
n02138169 palm_civet
n02614978 gunnel
n03227010 double_glazing
n13882487 heptagon
n02822064 bedsit
n07574923 brunch
n12521394 cytisus_scoparius
n01952712 physa
n01340522 polyoma
n07690892 scone
n03309465 ocular
n04514241 uplift
n03293863 equatorial
n04184880 sharkskin
n01797307 spruce_grouse
n03695857 luger
n13098962 bast
n02796318 barrette
n12614477 waterweed
n02271897 thrips
n07741804 winesap
n01742821 rosy_boa
n04416005 testudo
n04198233 shirting
n03277149 electron_gun
n03582508 ivp
n03288742 cor_anglais
n01778217 ixodes_ricinus
n04434207 tie_rack
n12261571 copper_beech
n03196990 dsl
n03141702 crusher
n09269341 down
n02240517 cimex_lectularius
n03879705 palette
n07876550 scampi
n02833403 bevel
n03888022 parabolic_reflector
n07920540 iced_coffee
n03283827 emitter
n10253296 legal_representative
n03567788 indiaman
n04561422 water_mill
n03730655 matrix
n04245508 small_stores
n07621264 nonpareil
n03244231 driveshaft
n00470966 rugby
n02536456 king_salmon
n04123228 sackcloth
n07615289 sherbet
n07852376 gorgonzola
n06278475 hdtv
n03158414 terylene
n02687682 air_cushion
n03674731 link_trainer
n11916696 milfoil
n04384593 tailgate
n04230603 ski_pole
n04584056 wiffle_ball
n03035832 gittern
n08506347 semidesert
n03383099 foresail
n12189987 adansonia_digitata
n03642144 laparoscope
n12055516 cymbidium
n02767956 backbench
n03344642 firebrick
n07877675 steak_tartare
n02692232 drome
n10120671 gardener
n01680478 fence_lizard
n04963588 deep_red
n11758122 lightwood
n01407798 green_algae
n07654298 biryani
n12304286 swamp_ash
n03767745 minaret
n07726525 mushy_peas
n12058630 marsh_orchid
n03012897 chemical_plant
n04533946 videodisc
n02969323 carriageway
n02202678 biting_midge
n07584423 borscht
n02964843 cargo_container
n02836035 bicycle_wheel
n12112008 gramma
n02960903 decanter
n02520147 flathead_catfish
n03983612 poplin
n13868515 s_shape
n04574348 whaleboat
n12766043 mombin
n12752205 maple
n04369618 sweatband
n03415252 gamp
n04220250 silo
n04554998 washhouse
n04292080 square_sail
n07854614 ricotta
n01903346 scute
n02970685 car_seat
n00445685 sculling
n07905618 pulque
n04605572 wraparound
n07852614 brie
n05263448 attilio
n11946051 safflower
n01786646 millipede
n15091669 pyridoxamine
n04300509 stamper
n02856013 blue_chip
n08571275 midfield
n03228967 dovetail
n02850950 blimp
n13154494 frond
n13095013 partial_veil
n03274265 electric_toothbrush
n12155009 pandanus_tectorius
n03640850 lanolin
n07910538 pastis
n00477392 lacrosse
n04065789 recycling_bin
n09376526 davy_jones
n04208936 shower
n07694659 shortcake
n03147156 culverin
n12761905 pistacia_terebinthus
n09249034 gap
n03290195 entablature
n04472726 sender
n03437741 gingham
n04194127 shin_guard
n01818299 amazon
n04381073 tablespoon
n01665932 snapping_turtle
n02104184 attack_dog
n04030414 pyxis
n01323261 suckling
n11773987 oleander
n03114379 cozy
n02030224 reeve
n12861345 phlomis
n04213353 sickle
n07587618 corn_chowder
n03678879 live_axle
n03116008 couchette
n03681813 local_oscillator
n04295777 staddle
n09257843 cove
n07851926 processed_cheese
n00466712 miniature_golf
n02445171 eurasian_otter
n07864638 tetrazzini
n03199775 dinette
n02423589 springbok
n04506895 ultrasuede
n07818995 marjoram
n03382413 foredeck
n03138344 pry
n13882276 hexagon
n04006067 privateer
n07611046 compote
n10772092 weatherman
n07751858 greengage
n04432043 thwart
n03333610 sports_arena
n04477548 treasure_chest
n12624568 japonica
n04015908 protractor
n02417785 markhor
n04121426 rya
n04128710 sailcloth
n02055107 tropicbird
n02050809 dabchick
n07590320 goulash
n03680942 local
n03600285 jodhpurs
n03610682 peaked_cap
n10186216 wrangler
n09990777 dance_master
n04036776 rabbet
n02901620 brigantine
n04524941 velours
n01365885 neisseria_gonorrhoeae
n04536153 viol
n12908093 wild_tobacco
n12675876 lonicera_japonica
n02238594 lace_bug
n02215770 digger_wasp
n07880325 welsh_rarebit
n02343320 syrian_hamster
n03843438 oilcloth
n02910864 buckskins
n04413969 terraced_house
n01782516 red_spider
n00455173 surf_fishing
n04211219 shunter
n13003254 death_angel
n03644378 lariat
n07569873 soybean_meal
n12807409 american_plane
n03313333 frontage
n00470830 hurling
n02088839 coonhound
n00448126 professional_wrestling
n03034244 circuit_breaker
n02404432 texas_longhorn
n07765073 date
n04115802 royal
n11839823 mirabilis_jalapa
n02907082 broom_handle
n04390577 tank_top
n03367410 florist_shop
n13007417 oyster_mushroom
n03249342 pharmacy
n02380745 bronc
n02650541 searobin
n03244775 one_iron
n09415671 river_bottom
n12691661 gumbo_limbo
n02181235 darkling_beetle
n11851839 cholla
n02241008 backswimmer
n04470741 transdermal_patch
n13171797 water_sprite
n12737383 family_loranthaceae
n04331639 straightener
n01487506 sand_tiger
n01830479 wood_hoopoe
n12642600 gean
n12862512 plectranthus
n04529962 tail_fin
n11646694 bunya_bunya
n11753355 trifolium_pratense
n05258051 forelock
n07868340 fried_rice
n03987376 portrait_lens
n02685995 airbrush
n03365374 flood
n07857731 humus
n01606177 tercel
n03396580 friary
n04579056 whiskey_bottle
n05453657 neutrophil
n09466678 uphill
n07616487 sundae
n07896994 plonk
n07928790 pepsi_cola
n02797535 bascule
n07834872 russian_dressing
n12957803 nardo
n01744100 reticulated_python
n02568959 grouper
n03215508 divided_highway
n02828299 belt_buckle
n02993368 thurible
n11758276 golden_wattle
n03035832 citole
n07568241 farina
n02596381 croaker
n15092059 nicotinic_acid
n00451563 bicycling
n04115456 rowing_boat
n09906704 champ
n03445617 golf_bag
n04058239 rom
n12128490 knotgrass
n03124590 cattle_pen
n07822687 chili_powder
n01894207 tenrec
n03652729 lean_to
n12773651 caimito
n02368116 viscacha
n04260364 sonogram
n02922798 burlap
n03178674 derringer
n02563648 pumpkinseed
n04176295 servomechanism
n03149135 curb_bit
n07745661 saskatoon
n01717467 velociraptor
n03322704 green_market
n03190458 dibble
n02379908 arab
n06267758 school_newspaper
n01915811 coral
n01692523 beaded_lizard
n03232309 drainage_ditch
n04570214 wedgwood
n09219233 berm
n03027625 chukka
n02407521 guernsey
n04564278 wattmeter
n09877951 chum
n09260907 tillage
n07732302 hominy
n03678729 little_theater
n02382750 welsh_pony
n03374838 fob
n01495006 bonnethead
n02998003 cereal_box
n02692086 airscrew
n01548301 kingbird
n04397168 tea_chest
n03666362 led
n03350204 fish_bowl
n02950018 cannery
n03396074 fret
n02751215 astrolabe
n03441345 glove_compartment
n02884859 box_girder
n02117512 striped_hyena
n04273796 speed_indicator
n07894965 pinot_noir
n02507148 digitigrade
n01826680 european_roller
n07916041 martini
n11621950 canada_balsam
n03221059 domino
n02079851 common_seal
n03985069 portable
n02512830 game_fish
n04466871 trail_bike
n03850053 operating_microscope
n04557522 water_bed
n02058594 wandering_albatross
n04514648 upper
n03883054 panic_button
n07910048 triple_sec
n11902709 argemone
n11757017 gidgee
n04410086 tenor_drum
n03378442 foot
n12947313 cornus_florida
n03186285 dhow
n12807409 buttonwood
n07821610 tarragon
n07849733 whey
n01710177 diplodocus
n01467804 lancelet
n07911061 ratafia
n04961062 alabaster
n02322047 trepang
n08182379 crowd
n02152740 predator
n03533014 chicha
n03402941 funeral_home
n04338963 stringer
n01884476 tasmanian_tiger
n04267165 spandex
n04359034 supertanker
n04568841 webbing
n03326371 feedlot
n04969798 greenish_blue
n02871439 bookshelf
n04124202 saddle_blanket
n07712959 nacho
n03119203 trading_post
n01593028 bushtit
n03503477 head_gasket
n04294879 stable
n01743086 anaconda
n11710136 southern_magnolia
n07826653 aniseed
n09259025 crag
n13078021 verticillium
n04279063 spinning_jenny
n02759387 autogiro
n07770869 areca_nut
n01944955 garden_snail
n03484809 hand_drill
n00466880 croquet
n03655720 leisure_wear
n03158414 dacron
n02910145 bucket_seat
n04538403 viscose
n03251533 drydock
n12336333 eucalyptus_camaldulensis
n04258618 solar_telescope
n02932693 economy_class
n03904657 pediment
n03878511 palestra
n03583419 ion_engine
n11690088 peach_pit
n02916179 dozer
n02551134 halfbeak
n03413264 galvanometer
n03850492 operating_table
n02286089 lymantria_dispar
n04168084 segmental_arch
n02879087 posy
n00467320 horseshoes
n03430418 gazebo
n02393161 diceros_bicornis
n03103563 coonskin_cap
n02935017 cache
n02805283 baster
n03815278 neckline
n04112252 rotor_blade
n01579260 corvus_corax
n03936466 pile_driver
n02768655 back_brace
n02793296 bar_magnet
n02531114 alewife
n04969952 royal_blue
n01381044 streptococci
