n03158668 dado
n03460899 gristmill
n04082562 retainer
n07903962 grappa
n01770795 pseudoscorpion
n04289027 sprinkler
n02890804 brake_pedal
n03801353 musical_box
n02527271 moray_eel
n04287898 spray_paint
n02207345 queen_bee
n03605417 jump_seat
n03996849 power_steering
n03221059 half_mask
n07723559 lettuce
n03892178 parquet
n03881404 panchromatic_film
n06281040 reception
n03718789 mansard_roof
n03452594 longcase_clock
n02731629 aqualung
n03394649 french_door
n07643891 orange_marmalade
n07896661 macon
n02522722 atlantic_cod
n02391373 mountain_zebra
n11762433 leucaena_leucocephala
n11722466 creeping_buttercup
n12253229 epacris
n02970408 tote
n03205304 direction_finder
n02708711 analyser
n02124484 manx
n12704041 oca
n04950952 wood_grain
n03485198 hand_mirror
n02879309 boutique
n04041747 radio_antenna
n10421470 pharmacist
n00447540 wrestling
n04472726 transmitter
n11919761 ambrosia_artemisiifolia
n02775897 bailey_bridge
n03225988 double_bed
n13022709 mycelium
n04183329 shaker
n00452034 bullfighting
n03251533 dry_dock
n02287799 cankerworm
n02064816 blue_whale
n12321873 shagbark
n07822197 ketchup
n12870891 wild_thyme
n11598886 ephedra_sinica
n07851554 mascarpone
n03005285 chandelier
n03010795 chasuble
n03551395 hydraulic_press
n05282652 diastema
n07606669 jelly_bean
n07925327 lime_juice
n04496614 tulle
n04402746 telephone_system
n11838916 bougainvillea
n02881757 bowler_hat
n11851839 cholla
n04412416 tipi
n02921029 bunsen_burner
n11801392 birthwort
n07845863 homogenized_milk
n00467536 shuffleboard
n02759387 gyroplane
n13061172 tremella_fuciformis
n04524594 velcro
n07844786 sour_milk
n01683558 night_lizard
n01736375 ground_snake
n12872914 butterwort
n08596076 littoral
n04427559 3d_radar
n02643112 scorpionfish
n04167346 seeder
n02759387 autogyro
n12437513 kniphofia
n01314663 critter
n01317294 draft_animal
n02064000 bowhead_whale
n03364156 fin
n01424420 plasmodium_vivax
n02961035 caravanserai
n12307756 privet
n03678879 live_axle
n07828378 monosodium_glutamate
n01842504 puffbird
n03727067 mastaba
n02044908 great_skua
n03432129 shifter
n03275681 electrolytic_capacitor
n11782036 alocasia
n12392549 stinging_nettle
n00447540 grappling
n03601442 jdam
n11621950 canada_balsam
n01527194 accentor
n03390075 foxhole
n04257790 solar_battery
n02783459 ball_valve
n03732114 mausoleum
n04096733 roadbed
n13912540 stemma
n03251280 dry_cell
n02786611 bandolier
n02333909 black_rat
n07899660 verdicchio
n07919165 zombi
n03686924 log_cabin
n07741804 winesap
n03297735 establishment
n12856287 spearmint
n03013006 chemical_reactor
n11870418 garlic_mustard
n03971218 plywood
n01818299 amazon
n04459122 tourer
n02631775 white_marlin
n12328567 purple_loosestrife
n11636204 sugi
n02488894 guereza
n09411189 riparian_forest
n02813752 bazooka
n04476116 dragger
n12095647 moneywort
n02125494 ocelot
n11974557 snakeweed
n07839055 nantua
n02387346 shire_horse
n02692232 aerodrome
n02085019 feist
n11792341 spathiphyllum
n07938007 multivitamin
n01958531 geoduck
n03293863 equatorial
n03527149 holloware
n07596160 icing_sugar
n03413264 galvanometer
n03662452 lie_detector
n03244919 driving_wheel
n03392648 francis_turbine
n03390327 daisy_cutter
n01859190 mute_swan
n03041810 clearstory
n02009380 snowy_egret
n04414319 samian_ware
n09361517 versant
n12340581 water_gum
n04455652 topsail
n07840520 worcestershire
n07693590 danish_pastry
n00466524 stroke_play
n01606978 chicken_hawk
n12947313 cornus_florida
n09191635 air_bubble
n02488415 entellus
n04532831 vibraharp
n03440876 glory_hole
n01690149 slowworm
n04610274 yagi
n08524735 city
n00477392 lacrosse
n01788579 eurypterid
n05467758 astrocyte
n02843029 birchbark
n03914831 percale
n03173929 delivery_van
n07846143 dried_milk
n04431925 thunderer
n03101664 cookie_jar
n02846874 blackface
n12110778 brome
n03848033 open_circuit
n02389779 burro
n04973291 ecru
n07817315 cilantro
n02003204 marabou
n02376679 filly
n03270165 electrical_system
n04611351 yardarm
n01852142 wood_duck
n02239192 chinch_bug
n07904934 ouzo
n07616046 frozen_yogurt
n03041810 clerestory
n04075468 removable_disk
n03892178 parquet_floor
n04610013 yacht
n04119478 playroom
n09205509 arete
n04271531 specialty_store
n03216402 diving_suit
n00326094 rock_climbing
n09433839 shoreline
n13185658 doodia
n04232312 skybox
n03571439 injector
n02419056 serow
n04431436 thumbscrew
n07732168 sweet_corn
n03939178 pilot_boat
n07822053 caper
n03356559 flamethrower
n07896060 california_wine
n03861048 output_device
n02499022 slow_loris
n01442972 minnow
n09452395 swampland
n01823013 cuckoo
n02431628 sambar
n07678586 mincemeat
n04168840 seismograph
n09230202 butte
n03637787 lancet_arch
n03325941 trilby
n04155457 scriber
n01339801 cytomegalovirus
n03663433 life_office
n04979002 warning_coloration
n03929091 piccolo
n09264803 delta
n03683457 lockage
n09344324 lunar_crater
n04110178 rose_window
n10147710 grocer
n09270657 drumlin
n01805321 monal
n07842753 omelette
n03133050 crochet_hook
n07708398 raw_vegetable
n03045800 cloakroom
n02005399 shoebill
n04385079 tailor_made
n11603246 encephalartos
n02775039 luggage_van
n11773987 oleander
n07879350 sashimi
n08521623 graveyard
n02742753 arrow
n03676087 lip_gloss
n04021503 pulse_generator
n11626152 picea_sitchensis
n04328054 stopper_knot
n05491154 renal_cortex
n12927494 candlenut
n02030224 reeve
n02516188 lungfish
n13188096 davallia
n12656369 rubus_idaeus
n12114590 chloris_gayana
n02433729 roebuck
n11954161 creeping_thistle
n02117512 striped_hyena
n04326676 stoneware
n01531512 siskin
n04570214 wedgwood
n04518764 valise
n04397168 tea_chest
n12126084 cultivated_rice
n04430475 thrust_bearing
n01882125 flying_squirrel
n12327022 water_milfoil
n03432360 geiger_counter
n04095342 rivet
n03620353 kitchenette
n07684517 raisin_bread
n03492922 tin_hat
n14853210 high_explosive
n12368028 tutsan
n02919890 bungee
n03154895 cutwork
n04349401 subwoofer
n04409625 tennis_camp
n04242084 slit_lamp
n04578112 whipcord
n03561169 ignition_switch
n04030414 pyxis
n04955160 polish
n03637480 lanai
n04414319 terra_sigillata
n02946824 camshaft
n02809241 batiste
n02405440 banting
n03725600 mason_jar
n07915918 margarita
n11690455 flower_petal
n03386726 foulard
n07608980 rock_candy
n04483925 trimmer
n12230794 strawberry_tree
n09410224 rift_valley
n02469248 scapular
n00480366 pelota
n07583978 alphabet_soup
n15062057 stucco
n04257986 photovoltaic_cell
n03215076 diwan
n03135532 cross
n03330947 hobble
n03844673 petroleum_refinery
n11794519 duckweed
n12717072 ailanthus
n07834872 russian_dressing
n12729315 black_willow
n12669803 lemonwood
n12691428 bursera_microphylla
n07898247 soave
n02207805 worker_bee
n02960903 decanter
n07714802 red_cabbage
n12593994 date_palm
n03437941 girder
n04608923 xerox
n03956331 epicyclic_gear
n03677682 lisle
n04259468 sabaton
n02406647 charolais
n09376526 davy_jones
n04518643 valenciennes
n02889996 master_cylinder
n04459122 phaeton
n01573240 eastern_meadowlark
n00449054 skateboarding
n01699254 spectacled_caiman
n04482177 tricorne
n04596492 witness_box
n03297226 espalier
n02947660 narrow_boat
n07805594 bird_food
n01857079 snow_goose
n08640962 rough
n03802393 muslin
n04351550 suite
n03544238 hour_hand
n09376526 ocean_bottom
n04391445 tapa
n03408264 fusil
n03129848 creel
n03369407 fluid_drive
n04533700 videocassette
n04300643 stanchion
n03533014 water_pipe
n02738741 armet
n10467179 president
n04085574 reversible
n12827537 moonflower
n04387400 tambourine
n12882945 fingerroot
n01713764 tyrannosaurus
n04234763 slate_pencil
n02381261 dun
n03500389 hay_bale
n10679174 surgeon
n07846143 powdered_milk
n01652026 chorus_frog
n13198054 fiddlehead
n03973402 pocket_flap
n04370600 sweatshop
n03646809 latrine
n03343737 smoke_alarm
n03529175 home_room
n12904938 boxthorn
n02006364 sacred_ibis
n12399384 morus_alba
n04198722 shiv
n12311579 syringa_vulgaris
n02900705 briefcase
n04244847 smack
n12522188 rosewood
n03166809 death_row
n03454885 grater
n12092262 pimpernel
n00442981 dive
n03446268 clubhead
n02919792 bungalow
n04431745 pushpin
n12708941 bergamot_orange
n01617766 egyptian_vulture
n02341616 prairie_vole
n03313333 frontal
n07560542 kosher
n12014355 artemisia_maritima
n02624987 chub_mackerel
n07936093 sugar_water
n04569063 webcam
n03474779 hacksaw
n03005285 pendant
n03799240 multiprocessor
n02053584 booby
n12282527 silver_birch
n02962200 carburettor
n12289310 corylus_americana
n12843557 lesser_calamint
n02692513 vacuum_pump
n03306385 express
n04181718 shade
n12882779 foxglove
n12531727 gliricidia
n00480366 jai_alai
n04257790 solar_array
n12024445 common_dandelion
n11552806 annual
n02666943 butchery
n03462110 grosgrain
n08645104 scrubland
n04353573 sulky
n02993368 thurible
n02481366 mountain_gorilla
n03030880 cigarette_butt
n01396048 paramecium
n11624192 cedrus_atlantica
n01972541 cuttlefish
n03289660 enlarger
n12304703 fraxinus_excelsior
n04405762 tv_monitor
n02250280 cochineal
n11769176 adenium_obesum
n11954161 cirsium_arvense
n03668067 lightning_rod
n01783017 myriapod
n08579352 grainfield
n03516844 wellington
n04021164 pull_through
n03571625 inkpot
n12091550 oxlip
n01405616 ascophyllum_nodosum
n02917377 bullhorn
n01622352 horned_owl
n01637112 climbing_salamander
n03593222 japan
n14891255 greek_fire
n01917611 staghorn_coral
n15091129 aneurin
n02524202 pollock
n01701859 stegosaur
n04584056 wiffle
n03889726 parasail
n03369276 flugelhorn
n07875560 roulade
n04542595 vox_humana
n03123809 cowhouse
n04241573 slip_ring
n02054036 cormorant
n04395106 tartan
n04100519 rodeo
n02861286 bodega
n02414043 karakul
n01495006 bonnethead
n02451415 taira
n02843276 birdcage
n12831535 columnea
n07616590 split
n02469914 primate
n03696301 luggage_rack
n04210012 shrapnel
n04213105 sickbay
n01793715 orpington
n02878107 bottling_plant
n07619881 tapioca
n04045644 baulk
n07586894 vegetable_soup
n04382695 tachograph
n03974070 pogo_stick
n03632963 powder_room
n12784371 roridula
n01848840 baldpate
n07852614 brie
n12907857 nicotiana_tabacum
n03211789 shop_window
n03439348 glebe_house
n07896765 moselle
n00447221 tobogganing
n03025165 choo_choo
n11939180 balsamroot
n12385566 mignonette
n03090000 conference_table
n01526521 songster
n01853195 eider
n12131405 blue_grass
n03603442 jungle_gym
n01828556 kookaburra
n12024445 taraxacum_officinale
n04282231 splicer
n04046277 raglan
n02862916 body_lotion
n01799302 guan
n12580012 keurboom
n02037464 phalarope
n02147591 cave_bat
n12593994 phoenix_dactylifera
n03600285 riding_breeches
n12675876 japanese_honeysuckle
n07867021 enchilada
n03520493 hijab
n03161016 dampener
n11717399 lotus
n02047411 common_murre
n12189987 baobab
n08649711 bedside
n07803310 buckwheat
n03981566 pontoon
n03204558 dip_switch
n03042139 clevis
n09344724 maar
n01580870 jaybird
n04596492 witness_stand
n07935379 oolong
n03785721 morion
n01533651 serin
n12681893 weigela
n15091304 vitamin_b12
n02685365 air_bag
n04614844 zill
n01622120 little_owl
n03206282 discotheque
n04238321 zip
n04164002 secondary
n07704205 jook
n09818022 astronaut
n01586374 cactus_wren
n04205505 short_sleeve
n12658308 sorbus_aucuparia
n01416213 zooid
n01561732 wheatear
n03855333 oriel_window
n04305471 state_prison
n03923379 ampule
n12099342 statice
n02390738 kiang
n07821610 estragon
n04443766 toby_jug
n13917785 truncated_cone
n07825194 dill_pickle
n04414101 terra_cotta
n07617708 christmas_pudding
n02124623 wildcat
n04390873 tannoy
n01852400 mandarin_duck
n12243693 fetterbush
n11759853 rain_tree
n04467899 trailing_edge
n12044467 aerides
n13147689 malvasia
n03285578 encaustic
n03465151 guard_ship
n04066476 redoubt
n02857477 boardinghouse
n07689842 zwieback
n13003254 death_angel
n01563945 goldcrest
n03276696 electrometer
n04375405 rotary_converter
n01748686 spitting_cobra
n04412416 teepee
n12377198 dipterocarp
n01483830 porbeagle
n01381044 streptococcus
n02223266 termite
n02868638 bomb_shelter
n02699915 altazimuth
n03158186 dacha
n11628793 oregon_pine
n02962200 carburetor
n07744811 blackberry
n12827907 manroot
n03726516 mass_spectrometer
n03487331 handloom
n09454153 scree
n04130257 salad_bowl
n02161338 defoliator
n07852302 roquefort
n07846359 evaporated_milk
n11669786 floret
n04028074 putter
n02969323 carriageway
n02538562 arctic_char
n03577090 integrated_circuit
n12413165 iris_cristata
n11678299 petiolule
n03986949 portmanteau
n04102872 roll_film
n12681579 black_haw
n03043693 clinker
n04204755 short_circuit
n07730708 celery_root
n02564720 black_bass
n04979002 aposematic_coloration
n01617443 lammergeier
n07888465 wheat_beer
n03266749 duvet
n02680638 adjoining_room
n07904760 geneva
n01602630 vireo
n04376400 synthesizer
n01776705 ixodid
n03350204 fish_bowl
n04069166 reflectometer
n12731835 balsam_poplar
n03939844 pilot_light
n02823848 beer_hall
n12939874 cow_parsnip
n04274985 sphygmomanometer
n08547468 cow_pasture
n12070016 laelia
n14867545 fish_meal
n12450344 dogtooth
n01488038 whale_shark
n03077741 communications_satellite
n02243562 water_strider
n03252324 dry_masonry
n12421137 hippeastrum
n08539072 business_district
n02065026 fin_whale
n07690585 yorkshire_pudding
n07934800 darjeeling
n07831267 tomato_sauce
n02389559 donkey
n13055577 boletus_edulis
n04533946 videodisc
n02536456 king_salmon
n10155849 hairstylist
n04607869 wristwatch
n03071552 colorimeter
n07754894 cocoa_bean
n03796605 mudguard
n02062744 whale
n07916041 martini
n12369309 hypericum_perforatum
n01743086 anaconda
n12266528 myrtle_beech
n08596076 litoral
n02839592 billiard_parlor
n02947660 narrowboat
n03300216 ethernet
n03556679 ice_axe
n02512830 sport_fish
n03108853 cork
n03452594 grandfather_clock
n03138344 crowbar
n12753573 red_maple
n11821184 ice_plant
n12916511 teak
n11785668 caladium
n01632308 mole_salamander
n03056288 coal_house
n13107694 timber_tree
n03381231 forceps
n09461069 trapezium
n07881205 quesadilla
n03284308 empty
n04198562 shirtwaist
n04614655 ziggurat
n03033267 circlet
n02778294 baldric
n03041449 cleats
n11616852 virginia_pine
n03602365 joss_house
n03145522 cue
n03241335 drinking_fountain
n02415829 mouflon
n03251932 dry_fly
n12320627 pignut_hickory
n02029378 sanderling
n03818343 neon_tube
n08673039 kampong
n07567980 kibble
n03159535 dairy_farm
n12782530 sundew
n03517899 high_altar
n03904909 peeler
n03098688 control_room
n04420720 thermocouple
n04449550 tollgate
n02367492 chinchilla
n12866459 salvia_divinorum
n04604806 worm_gear
n02339922 pack_rat
n01497738 guitarfish
n02894337 breakfast_table
n03622058 klaxon
n03457451 greave
n11704620 camphor_tree
n02343320 syrian_hamster
n04387706 tamper
n03609959 keelson
n03429137 gatling_gun
n04246271 smocking
n02317781 brittle_star
n07721018 green_pepper
n07853648 gouda_cheese
n02963503 electrocardiograph
n03797264 mufti
n07589543 brunswick_stew
n04529108 vernier
n03424630 gasoline_engine
n12521394 cytisus_scoparius
n03365231 floatplane
n01799679 curassow
n03780799 moleskin
n12855494 mentha_aquatica
n08685188 zodiac
n07685918 black_bread
n02420828 gerenuk
n03319457 false_face
n03127203 crankcase
n02042046 herring_gull
n12038898 rampion
n02752810 atlas
n03945928 pipe_cleaner
n04130907 sallet
n08677424 veld
n09885866 cabinetmaker
n12345899 mangrove
n03865557 flyover
n12129986 canary_grass
n02907873 brownstone
n04181083 sgraffito
n04506506 ultracentrifuge
n10151760 guitarist
n12031927 vernonia
n11753355 red_clover
n03396580 friary
n03436549 gift_wrapping
n11706942 laurel_tree
n01322508 wolf_cub
n01319467 marine_animal
n12403994 paper_mulberry
n02337001 deer_mouse
n12062781 chatterbox
n12235051 mayflower
n13868515 s_shape
n11728945 black_cohosh
n01481331 chimaera
n01792955 sitter
n07575076 luncheon
n07887461 bock
n03129001 creamer
n05260240 pompadour
n02524524 hake
n02565072 smallmouth
n04559994 water_hazard
n09454412 tangle
n03228254 doublet
n01712752 ceratosaurus
n07749870 key_lime
n07765073 date
n01622959 tawny_owl
n03196990 dsl
n01681940 horned_lizard
n02076402 crabeater_seal
n07916437 old_fashioned
n01972131 architeuthis
n12909421 petunia
n02405302 yak
n04359034 supertanker
n00470682 touch_football
n00440509 high_jump
n12718995 quassia
n01612628 caracara
n02977330 cashmere
n03425595 gas_range
n12771390 kaki
n12753245 acer_saccharum
n02882190 bowling_alley
n11628087 western_hemlock
n12732009 white_poplar
n04041243 radiator_cap
n03376279 folder
n03036244 city_university
n10041887 earner
n04561422 water_mill
n07896893 muscadet
n07741706 stayman
n04189651 sheet_pile
n08249459 concert_band
n04354026 summer_house
n01758895 carrion
n03639230 landing_skid
n03571280 inhaler
n03628071 kohl
n12513933 redbud
n03210552 dispensary
n02029087 curlew_sandpiper
n15091304 cobalamin
n07586604 pea_soup
n00446411 in_fighting
n07802863 groats
n07727252 pinto_bean
n03604311 jumbo_jet
n02056228 adelie
n01857325 brent
n00481803 professional_basketball
n07615569 tutti_frutti
n04573513 wet_bar
n03784270 monstrance
n11946051 safflower
n04185529 sharpie
n07588817 vichyssoise
n02415253 dall_sheep
n04963307 turkey_red
n12189987 adansonia_digitata
n02808829 bathyscaphe
n12849416 henbit
n03882611 panelling
n12766043 mombin
n11977303 sneezeweed
n04171208 semaphore
n02874537 bootlace
n07914413 daiquiri
n01881564 cuscus
n04386792 talcum
n09893502 captive
n04141712 scaffolding
n03136369 crossbow
n12495895 honey_locust
n07823698 cranberry_sauce
n12484784 bogbean
n03882960 panhandle
n12957803 nardoo
n13139647 husk
n04487894 troopship
n09932508 coal_miner
n12613706 hydrilla
n11611758 stone_pine
n11989393 edelweiss
n03256166 tipper
n02309242 instar
n10164492 head_nurse
n01717467 velociraptor
n03306385 limited
n04045085 radio_transmitter
n04552551 war_room
n01579410 rook
n12374418 rockrose
n02482650 bonobo
n02486657 chacma_baboon
n03684489 lockring
n15091473 vitamin_b2
n04537436 virginal
n03072201 color_tv
n04252653 snow_blower
n03624400 knife_blade
n01636829 dusky_salamander
n01744270 indian_python
n13882563 octagon
n03373943 flying_buttress
n12807251 london_plane
n03443543 godown
n07739035 windfall
n01670802 giant_tortoise
n02688273 air_cleaner
n02202124 culex_quinquefasciatus
n03796522 mud_brick
n09915651 chess_master
n04103206 rolling_pin
n07860208 treacle
n02814774 beachwear
n07914777 spritzer
n01528396 wagtail
n03966976 pliers
n07562379 diabetic_diet
n05244755 dental_plaque
n04356925 sun_porch
n11849271 mezcal
n03986949 gladstone
n04262530 sounding_rocket
n03716887 mandola
n00445685 sculling
n02065026 finback
n07920349 cappuccino
n03206718 disguise
n04210288 shrimper
n09425344 scablands
n07887099 draft_beer
n00482122 netball
n04416005 testudo
n04438643 time_switch
n12365900 clusia
n01614556 tawny_eagle
n08551296 exarchate
n04471632 transistor
n01472303 amniota
n04228581 ski_boot
n01549886 phoebe
n01318053 stocker
n04002629 primary
n07560652 fare
n03274435 electric_typewriter
n07730406 celery
n03563460 impeller
n01812662 rock_dove
n02109150 guide_dog
n12826143 dichondra
n03844673 oil_refinery
n03057841 coatee
n05260127 pageboy
n02064000 greenland_whale
n03013850 chenille
n12773651 caimito
n02978205 casque
n07852919 cheddar_cheese
n09348460 massif
n12055516 cymbidium
n11849271 peyote
n07854614 ricotta
n02776505 baize
n04557522 water_bed
n03135030 croquet_mallet
n02099997 pointer
n07846802 whole_milk
n12594989 raffia_palm
n02627532 yellowfin
n02054502 darter
n03430418 gazebo
n02917607 bullnose
n02884859 box_beam
n03326371 feedlot
n11615387 pinus_taeda
n02324587 bunny
n04145863 schmidt_telescope
n04955160 gloss
n02979516 cassock
n02694045 aisle
n01579260 corvus_corax
n01809752 hoatzin
n01646802 american_toad
n04290615 sputnik
n07894551 chablis
n02227247 migratory_locust
n03036701 clack
n03805725 nail_polish
n07608245 marzipan
n02427470 kob
n10007995 hotel_clerk
n01449980 mollie
n03368352 flower_bed
n03980478 pommel_horse
n01851895 wild_duck
n03732458 maxi
n12155009 pandanus_tectorius
n02988156 cd_drive
n01484285 shortfin_mako
n03067093 cold_cathode
n12585629 palmyra
n12850906 dagga
n00448748 figure_skating
n02088839 coonhound
n02811719 battle_dress
n03485309 hand_grenade
n07857731 humus
n07924834 orange_juice
n03850053 operating_microscope
n01439514 carp
n02898585 bridal_gown
n07803992 wheat_germ
n03643491 lgb
n03585778 iron_horse
n07805966 dog_food
n04520962 vaporiser
n03939677 pilothouse
n09436444 ski_slope
n00470966 rugby_football
n04549721 wankel_engine
n02993368 censer
n02692232 airdrome
n03935234 piggery
n01579578 daw
n03323319 farthingale
n04964878 maroon
n03491032 hang_glider
n02432291 odocoileus_virginianus
n02970408 carryall
n07876893 scrapple
n01504179 fledgling
n01794158 turkey
n11761836 inga_edulis
n03190458 dibber
n11737534 pasqueflower
n04146343 schoolbag
n13044375 giant_puffball
n00468299 shinny
n04409911 tenon
n07813579 seasoned_salt
n04290507 spur_gear
n04270371 speakerphone
n07740461 red_delicious
n02003204 marabout
n08782627 aegean_island
n02699770 altarpiece
n12858150 monarda
n02476870 australopithecus_africanus
n03875806 paintball
n09257843 cove
n02768433 backbone
n04556533 watch_case
n07804543 brown_rice
n04105704 roofing
n03572321 inkwell
n03103563 coonskin_cap
n03141327 cruise_ship
n03949317 piston_rod
n03416900 garbage
n02794008 barograph
n02429456 pronghorn_antelope
n02863536 bofors_gun
n02571652 bigeye
n03548533 hulk
n11902389 papaver_somniferum
n00483205 professional_tennis
n03688605 long_trousers
n02327842 snowshoe_hare
n01999767 velvet_worm
n04253057 snuffbox
n12680864 viburnum_opulus
n02971167 automobile_tire
n04605572 wraparound
n03500209 hawser
n01958435 cherrystone
n04415257 test_equipment
n03143400 crystal_detector
n04500060 turner
n04053508 range_finder
n13038068 gyromitra_esculenta
n07864756 chicken_kiev
n02378149 remount
n02509515 coati
n04125541 safe_house
n01646648 natterjack
n03063199 coffee_filter
n04192521 sheraton
n04559620 water_filter
n12726670 weeping_willow
n02836174 bidet
n03256166 dumper
n01842235 barbet
n08547544 crest
n02904927 brogan
n03600722 joinery
n01669654 painted_turtle
n04567593 meteorological_satellite
n02240517 chinch
n01672611 smooth_softshell
n01977485 stone_crab
n02357911 antelope_squirrel
n03089753 conference_house
n00479734 fives
n04158956 sea_chest
n12754648 acer_campestre
n02409038 anoa
n04290259 gad
n01927456 cestode
n03039827 dry_cleaners
n02922461 burin
n02838345 bilge_pump
n07684164 matzo
n11611758 pinus_pinea
n02907082 broomstick
n01613807 eaglet
n07608339 nougat
n12138248 kaoliang
n02701730 american_organ
n02501583 tarsier
n04022434 pump_action
n07859951 molasses
n11692792 thistledown
n07888465 white_beer
n04475411 trapeze
n07575076 lunch
n02897097 bren
n03729308 matchbook
n03914583 pepper_spray
n03711999 mainmast
n03856465 orrery
n02771166 backstairs
n02605703 chaetodon
n02878628 boulle
n01397871 seagrass
n02935017 cache
n07907037 firewater
n03500090 hawse
n07909714 galliano
n12320414 water_hickory
n02871824 boom
n02861147 bocce_ball
n01987545 prawn
n02609302 bluehead
n11664418 ginkgo
n12196694 currajong
n03035832 cittern
n02979290 cassette_recorder
n03979377 polyester
n01595624 martin
n07839730 soubise
n04124202 saddle_blanket
n04324387 stockroom
n07825850 apple_sauce
n12590715 palm_kernel
n01931520 enterobius_vermicularis
n06263202 free_press
n13084834 cultivar
n04347119 subcompact_car
n04305572 stateroom
n04370955 sweep
n04320871 stirrer
n02755529 attack_submarine
n02237581 capsid
n10087434 fighter_pilot
n04562496 waterspout
n02879087 bouquet
n11939699 bellis_perennis
n03099147 convector
n12511856 caragana
n07880213 terrine
n03683995 locket
n02793089 baritone_horn
n03585438 chains
n12513613 judas_tree
n01551711 manakin
n01927159 blood_fluke
n03865288 overmantel
n07934032 tisane
n11790936 tuckahoe
n02925107 bushing
n09231117 caldera
n02197689 drosophila
n02470709 anthropoid
n05245192 freckle
n01610226 northern_harrier
n01323261 suckling
n04402746 phone_system
n12639736 bullace
n03469903 gunny_sack
n00825773 judo
n01573627 cacique
n02977438 cash_register
n07822687 chili_powder
n12614477 waterweed
n02682311 adze
n04482297 tricot
n03621377 kitchenware
n01947396 whelk
n03720163 map
n01570676 yellowthroat
n02397744 collared_peccary
n04185946 shaving_brush
n03635032 lamasery
n04202142 shooting_lodge
n04085017 reverse_gear
n01755740 timber_rattlesnake
n12727518 goat_willow
n03393017 free_house
n07935288 hyson
n11717577 american_lotus
n02806762 bath_chair
n01859496 tundra_swan
n03779128 mohair
n04290507 spur_wheel
n03422771 gas_engine
n07854266 muenster
n02750070 assembly_hall
n02898585 wedding_gown
n03123809 byre
n01795088 grouse
n03227010 double_glazing
n09877951 chum
n03221059 eye_mask
n11599324 welwitschia
n03445617 golf_bag
n02910145 bucket_seat
n03141612 cruse
n01397690 arame
n04226464 skein
n00476235 stickball
n03779246 moire
n02843029 birch_bark
n02533834 anchovy
n02585872 cichlid
n02936281 caff
n13024500 clavicipitaceae
n02403740 heifer
n02454794 peba
n06417096 breviary
n03533014 shisha
n04612026 yarmulke
n04142434 scalpel
n03402941 funeral_home
n08596076 littoral_zone
n12663023 coffea_arabica
n03767459 mimeo
n04075291 remote_terminal
n07585015 beef_broth
n03721047 marble
n02432291 whitetail
n07601686 candy_corn
n03917814 permanent_press
n02498743 slender_loris
n12589687 latanier
n03725506 masonite
n03305953 etd
n03493792 hardware
n03152951 cutaway
n08658309 soil_horizon
n02368116 viscacha
n12766869 poison_ivy
n02825872 bell_foundry
n03280394 electrostatic_machine
n02839592 billiard_hall
n09874862 bridesmaid
n07805594 birdseed
n04278932 spinning_frame
n01581166 canada_jay
n09269882 draw
n04189092 sheet_bend
n03585682 iron_foundry
n04164002 secondary_winding
n02456962 sloth
n12920204 christmas_star
n02313709 bryozoan
n02061217 stormy_petrel
n11759609 siris
n03425595 gas_stove
n03002816 chalet
n03515934 hermitage
n03657511 cat_suit
n12338146 spotted_gum
n12133682 bluestem
n12823717 convolvulus
n03871371 liquor_store
n01804163 golden_pheasant
n02495242 tree_shrew
n01722998 pterosaur
n02966545 claw_hammer
n12521394 scotch_broom
n02688273 air_filter
n04585318 wimple
n15086247 flaxseed
n02036228 banded_stilt
n07600285 bubble_gum
n02757337 audiometer
n02351870 jerboa
n07804657 white_rice
n03492087 hansom_cab
n04502851 twenty_two
n03614782 keyhole
n03361550 flats
n03471030 gusher
n02240517 bedbug
n11712282 tulip_tree
n04595855 wiring
n07696625 ham_sandwich
n02451415 tayra
n07774295 hickory_nut
n12950126 valerian
n13897528 hypotenuse
n01849676 shelduck
n11759853 monkeypod
n04962062 ash_gray
n01565599 sedge_warbler
n02846511 chalkboard
n03514451 hemostat
n07712959 nacho
n04447028 toilet_bowl
n02885882 ticket_office
n11723452 wolfsbane
n07718671 gherkin
n09218494 belay
n04136161 sari
n07562881 fad_diet
n12500518 cassia_tora
n07895595 chianti
n04449290 tollhouse
n00453478 fox_hunting
n03671914 linear_accelerator
n04592356 winepress
n12137791 durra
n03349020 firing_pin
n04028315 puzzle
n12324056 combretum
n03176763 emporium
n03843883 kerosene_heater
n02420509 blackbuck
n04141712 staging
n02073831 manatee
n03024064 choir
n02871439 bookshelf
n04389854 tank_engine
n03977592 police_boat
n03598151 jib
n03878511 palaestra
n12656369 framboise
n07926442 orangeade
n03010915 chateau
n04208065 shoulder_patch
n11614420 ponderosa_pine
n13133932 spadix
n02879087 corsage
n03384167 fork
n13190747 dicksonia_antarctica
n03776877 moccasin
n03244775 one_iron
n02763604 aviary
n07569873 soybean_meal
n07721678 jalapeno
n12463743 bog_asphodel
n13154388 pinnule
n04054361 tuck
n02599347 weakfish
n12890265 veronica
n04022866 pump_room
n09398677 precipice
n03173270 delft
n04131368 saltbox
n02643836 stonefish
n03316105 facsimile
n02137015 genet
n10707233 healer
n07722888 purple_onion
n00474769 hardball
n01593028 bushtit
n03718335 manometer
n02202006 culex_pipiens
n12836862 phacelia
n03330665 festoon
n04506289 ukulele
n15092751 vitamin_k
