n01536035 chipping_sparrow
n02388832 liver_chestnut
n01792429 cockerel
n07845863 homogenized_milk
n02600298 goatfish
n04052658 ranch_house
n13862407 leaf_form
n04529108 vernier
n03923564 phillips_screw
n11626152 picea_sitchensis
n12641007 prunus_armeniaca
n12718995 quassia
n01797020 capercaillie
n03155502 cyclopean_masonry
n01526521 songbird
n03052464 clothing_store
n09450163 sun
n02423589 springbok
n13917785 truncated_cone
n09894445 heart_specialist
n07919441 irish_coffee
n02405302 yak
n07586485 oxtail_soup
n02602059 liza
n02443015 american_mink
n15086247 linseed
n02788572 baptistery
n11624192 atlas_cedar
n03809211 spikenard
n02404432 longhorn
n02848921 dummy
n07579917 adobo
n03505133 headrest
n01593028 bushtit
n11722466 creeping_buttercup
n02762508 autostrada
n03947466 pipe_wrench
n01560935 whinchat
n01651487 cricket_frog
n07855510 peanut_butter
n10679174 surgeon
n07928790 pepsi
n03077741 communications_satellite
n01852671 muscovy_duck
n02801184 basilica
n04530283 vertical_tail
n04257790 solar_array
n02009380 snowy_egret
n03432129 gear_lever
n04238128 slide
n03002341 chairlift
n02244515 kissing_bug
n02921029 bunsen_burner
n07931870 may_wine
n04585128 wilton
n03632100 lacrosse_ball
n02894337 breakfast_table
n03920641 pet_shop
n03738472 mechanism
n02752810 telamon
n11735570 goldenseal
n07714287 chinese_cabbage
n11687789 microspore
n03178674 derringer
n07928367 ginger_ale
n02839110 hoarding
n04368365 swagger_stick
n07854348 parmesan
n07846359 evaporated_milk
n07774842 pine_nut
n03751757 metal_detector
n02527271 moray_eel
n01931520 enterobius_vermicularis
n04208936 shower
n02237581 capsid
n04375241 synchromesh
n11753355 trifolium_pratense
n13147689 malvasia
n03831757 nose_flute
n07853232 cheshire_cheese
n12263038 american_chestnut
n02762169 automatic_pilot
n12407079 wych_elm
n02359324 prairie_dog
n01880716 bettong
n03699591 machete
n04449290 tollhouse
n03616763 kick_starter
n04340521 strobe_light
n04087432 riband
n12916511 tectona_grandis
n03931980 picture_rail
n07721325 hot_pepper
n04119478 rumpus_room
n12755225 box_elder
n04368496 swallowtail
n04054670 rasp
n02978205 casque
n02341288 meadow_vole
n02310334 corn_earworm
n11532682 volva
n06419354 collegiate_dictionary
n03952576 pizza_shop
n11838916 bougainvillea
n13882639 nonagon
n04503593 twist_drill
n02775897 bailey_bridge
n03267113 eight_ball
n02008041 heron
n02056228 adelie
n03154895 cutwork
n04369282 swatter
n07854614 ricotta
n01554448 woodcreeper
n02780315 ball_bearing
n03687137 loggia
n02073831 manatee
n15019030 sand
n07588111 fish_chowder
n03710421 maildrop
n11692792 thistledown
n00448748 figure_skating
n07584938 bouillon
n03783430 monocle
n04590553 windscreen
n03127531 crash_barrier
n02256172 psylla
n03112719 corselet
n04204081 shopping_bag
n12137791 guinea_corn
n07896893 muscadet
n04016240 lopper
n03301568 euphonium
n07594066 cake_mix
n07607967 cough_drop
n11906127 golden_cup
n01445429 buffalo_fish
n12575322 vetch
n03445617 golf_bag
n03724756 musjid
n12520406 guar
n03103563 coonskin
n02937010 cagoule
n04358874 superstructure
n04598318 woodshed
n01709876 barosaurus
n12338979 manna_gum
n01527917 skylark
n02564720 black_bass
n01577035 common_starling
n03967270 plimsoll
n07896661 macon
n02376679 filly
n03209910 diskette
n03995661 power_loom
n13866626 convex_polygon
n01634227 olm
n02823335 beer_barrel
n11700058 mayapple
n03657511 cat_suit
n04074185 reliquary
n12614477 waterweed
n01668436 redbelly
n03163381 dashiki
n07688898 hushpuppy
n03662452 lie_detector
n04232312 skybox
n04559620 water_filter
n05263183 stubble
n09398076 pothole
n03485309 hand_grenade
n03790953 motorized_wheelchair
n01558149 mavis
n15092059 nicotinic_acid
n03724066 mascara
n02701730 american_organ
n03503997 headlamp
n04520962 vaporiser
n01606177 tercel
n03676087 lip_gloss
n01439514 carp
n02686121 airbus
n07851554 mascarpone
n07621497 sabayon
n02666943 shambles
n04458201 torture_chamber
n04521863 variometer
n01580870 jaybird
n13050397 bracket_fungus
n03413684 gambrel
n04285803 athletic_wear
n07904934 ouzo
n03055857 coach_house
n07587618 corn_chowder
n02378755 steed
n04562496 waterspout
n03835197 nude
n01611800 gyrfalcon
n02869155 bone_china
n11877193 collard
n02890804 brake_pedal
n02885882 box_office
n02863536 bofors_gun
n07926442 orangeade
n03981340 pontifical
n04119091 rumble
n12753245 sugar_maple
n03802393 muslin
n03698360 lute
n12610328 water_hyacinth
n03485198 hand_mirror
n01669654 painted_turtle
n12469517 herb_paris
n04479287 trench_knife
n12676534 woodbine
n03939677 wheelhouse
n00324978 tightrope_walking
n01678343 chuckwalla
n07835921 bourguignon
n04528079 verdigris
n09415584 riverside
n12584365 areca_catechu
n02762169 autopilot
n03918737 pda
n03574243 instep
n11706942 laurel_tree
n03730893 matting
n11625632 white_spruce
n03543254 hotplate
n09260907 tilth
n07890540 guinness
n03518135 highball_glass
n00450070 horse_racing
n12752205 maple
n11783920 anthurium
n12663023 coffea_arabica
n02946824 camshaft
n04085017 reverse_gear
n11765568 honey_mesquite
n12479537 dracaena
n03205143 directional_microphone
n12872914 butterwort
n11978713 helianthus_annuus
n02732572 arabesque
n04518343 vacuum_gauge
n12093329 cyclamen
n02794008 barograph
n03684740 lockup
n03055857 remise
n09353815 microfossil
n07683617 pita
n01686044 racerunner
n04346428 sty
n03770085 minicar
n03379204 football_stadium
n07873464 pilaf
n06267758 school_paper
n02694966 alb
n02771166 backstairs
n02877642 bottlebrush
n04006067 privateer
n01835769 european_nightjar
n04179126 sewerage
n10324560 poser
n03934565 pier_table
n00470830 hurling
n02869563 boneshaker
n00447540 wrestling
n02771547 backstop
n12731835 balsam_poplar
n01987076 snapping_shrimp
n02921029 etna
n04124202 saddle_blanket
n12138248 kaoliang
n02870772 bookbindery
n13006171 coprinus_comatus
n00443803 flip
n02857477 boarding_house
n12541403 grass_pea
n01592694 tomtit
n03018209 china
n04200258 shoebox
n04000592 press_box
n03815149 necklet
n01664990 hawksbill
n11759609 siris
n00480366 pelota
n04002629 primary_coil
n03463381 ground_level
n12741222 soapberry
n02089725 american_foxhound
n03657511 leotard
n04135315 sanitary_napkin
n08506347 semidesert
n02255391 woolly_adelgid
n12606438 commelina
n07619881 tapioca
n01776705 ixodid
n12218274 silky_oak
n04346428 pigpen
n01794158 turkey
n03175081 den
n02603317 barracuda
n04045644 balk
n03829857 norfolk_jacket
n04037873 race
n04266162 space_platform
n04539794 voile
n04156946 scull
n07601572 candy_cane
n04414199 terrarium
n11998888 cotton_thistle
n01972131 architeuthis
n11853356 christmas_cactus
n04198562 shirtwaist
n03499907 steel_guitar
n02961035 caravanserai
n02434712 brocket
n04401828 telephone_cord
n03215508 dual_carriageway
n12521394 scotch_broom
n12056217 slipper_orchid
n02080146 harp_seal
n03848348 opener
n04570815 weekender
n01909906 polyp
n07574923 brunch
n07928790 pepsi_cola
n04595028 wlan
n02882190 bowling_alley
n03616763 kick_start
n12095647 moneywort
n03393761 freewheel
n04356925 solarium
n13915113 tetrahedron
n03784793 mooring_mast
n09384106 pallasite
n02940385 call_center
n03005147 chancery
n12858150 monarda
n10253296 legal_representative
n12059314 dendrobium
n02287799 cankerworm
n08613733 open
n07684164 matzah
n07600285 bubble_gum
n12766869 poison_ivy
n02844214 bistro
n12754781 norway_maple
n02806762 bath_chair
n03454442 grass_skirt
n04184316 shantung
n08596076 sands
n03274435 electric_typewriter
n02763604 volary
n01321770 orphan
n04164002 secondary
n04401680 call_box
n02168427 glowworm
n02016956 purple_gallinule
n04255499 socle
n12974987 slime_mold
n11794519 duckweed
n03890358 pargeting
n02191273 tsetse_fly
n03801533 music_hall
n02888569 bracket
n03171228 defence_system
n00474881 perfect_game
n04349913 suction_cup
n02220055 pharaoh_ant
n01818299 amazon
n04221076 silverpoint
n11929743 artemisia_annua
n01748906 king_cobra
n07556406 comfort_food
n07909954 curacao
n04075813 rep
n02446206 striped_skunk
n01787006 sea_spider
n04134523 sandbox
n11669786 floret
n04586072 windbreak
n02047975 atlantic_puffin
n15091304 cyanocobalamin
n07881205 quesadilla
n12691661 gumbo_limbo
n02701260 amen_corner
n04431745 pushpin
n12031927 ironweed
n03146449 dead_end
n02666943 abattoir
n07600696 caramel_apple
n02884994 box_camera
n03135030 croquet_mallet
n12814643 catalpa
n02596381 croaker
n02414442 rambouillet
n04395024 tarp
n03517647 retreat
n04164757 second_hand
n10467179 president
n01623880 strix_occidentalis
n02823510 beer_can
n02202678 punky
n03109253 corncrib
n03660562 liberty_ship
n02009508 little_egret
n01314663 critter
n11610215 pinus_monophylla
n03974070 pogo_stick
n03343234 fipple
n02695627 alcazar
n09270735 dune
n07910970 kahlua
n02381609 tarpan
n04320973 stirrup
n03500090 hawse
n03567066 incubator
n11625003 norway_spruce
n04189651 sheet_pile
n12843557 lesser_calamint
n12322099 mockernut
n02692513 vacuum_pump
n02523877 haddock
n03201638 dinner_dress
n03141702 crusher
n08673039 kampong
n03621377 kitchenware
n02917377 bullhorn
n11626152 sitka_spruce
n04295353 stabling
n03432129 shifter
n02825872 bell_foundry
n09191635 air_bubble
n05244755 bacterial_plaque
n03646148 lath
n02421136 addax
n11760785 calliandra
n03828020 nonsmoker
n02538216 brook_trout
n03858085 ossuary
n04207151 shoulder
n13908201 cleft
n02023992 killdeer
n03815278 neckline
n02881757 derby
n01472303 amniota
n13028611 cup_fungus
n04431925 thunderer
n04185804 shaver
n07821610 estragon
n12393269 ramie
n04962062 ash_gray
n04386792 talcum
n12327022 water_milfoil
n01664674 olive_ridley
n03197446 digitizer
n04341288 strop
n07894799 chardonnay
n02932693 cabin_class
n02814774 beachwear
n03391770 framework
n02132580 grizzly
n04375775 synchrotron
n02822064 bedsitter
n03809211 nard
n03894677 parts_bin
n03572631 inlay
n03939178 pilot_boat
n12130549 timothy
n02685082 aigrette
n03173929 delivery_van
n01604968 accipitriformes
n08598568 mecca
n07693048 cinnamon_roll
n07759576 scuppernong
n02065263 sei_whale
n02904927 brogue
n03644378 lariat
n04976952 complexion
n02067240 cachalot
n06415688 jotter
n01622959 tawny_owl
n02731629 scuba
n03015478 chest_protector
n04402449 telephone_pole
n02413484 cotswold
n07896422 dubonnet
n02947660 narrowboat
n03769610 minibar
n11870418 garlic_mustard
n04359500 supply_closet
n02935387 caddy
n12743352 longan
n02571652 bigeye
n12506991 anthyllis_vulneraria
n02303284 cecropia
n04126852 safety_lamp
n02475078 neanderthal_man
n01514752 gamecock
n10772092 weatherman
n04236935 cascabel
n04303497 stapler
n02196896 apple_maggot
n12180168 mahoe
n09308743 ice_cap
n13131618 petiole
n04335886 streetlight
n12079963 pogonia
n04381860 tabletop
n03697366 lem
n04515729 upstairs
n04419868 thermal_printer
n02454794 peba
n04364994 surplice
n12656369 rubus_idaeus
n03229526 downstage
n07687381 baguet
n02852360 blister_pack
n07867021 enchilada
n04258859 soldering_iron
n03382413 foredeck
n10043643 economist
n04962062 silver
n09433839 shoreline
n03579538 interior_door
n11958499 brass_buttons
n07763987 mangosteen
n12680864 viburnum_opulus
n03168217 beach_chair
n03805725 nail_polish
n11800236 ginseng
n03935234 pig_farm
n13064457 blister_rust
n02130086 tigon
n02421449 gnu
n02275560 mourning_cloak
n04602762 workroom
n01553142 antbird
n07569644 graham
n02893608 breadbasket
n03844233 oil_paint
n00442981 dive
n11930038 artemisia_campestris
n12882779 digitalis
n04210288 shrimper
n04564278 wattmeter
n03641569 lanyard
n03199775 dinette
n04060448 rebozo
n12402596 ficus_religiosa
n12753762 striped_maple
n02813981 b_battery
n03221059 eye_mask
n02326862 european_hare
n02248887 soft_scale
n03333610 sports_arena
n03259009 dustpan
n01488038 whale_shark
n01672611 smooth_softshell
n04280845 spirometer
n07560193 fast_food
n01857325 brant_goose
n07845702 raw_milk
n04305210 statehouse
n01530439 chaffinch
n02951703 canopic_jar
n12704041 oca
n01735439 thamnophis_sirtalis
n02406859 devon
n03885293 pant_leg
n12269406 quercus_agrifolia
n09335809 landfill
n13001930 shiitake
n01892551 water_shrew
n04388473 tandoor
n07698543 reuben
n02588794 margate
n02814428 beach_towel
n01628770 caudate
n07587700 clam_chowder
n02506947 plantigrade
n06596727 slick
n04489695 trousseau
n04610013 yacht
n07684164 matzo
n02388276 trotting_horse
n02100399 setter
n02413593 hampshire
n04474187 transport_ship
n02562971 black_crappie
n03241335 drinking_fountain
n01317294 draft_animal
n02740300 apc
n02584449 piranha
n02456962 sloth
n01857325 brent_goose
n07698401 blt
n02122510 alley_cat
n07899660 verdicchio
n04102618 roller_skate
n03890358 pargetting
n03034244 breaker
n12239647 leucothoe
n01791107 gallina
n03795976 movie_projector
n03730655 matrix
n01447331 may_fish
n03981760 pontoon_bridge
n07927836 bitter_lemon
n11870747 alyssum
n02553028 lingcod
n04485884 triskelion
n01758895 carrion
n02874537 bootlace
n03695452 luff
n03439348 glebe_house
n08249459 concert_band
n03565288 imprint
n07730406 celery
n07715221 brussels_sprouts
n04555600 washtub
n03664159 life_support
n03237212 dress_blues
n02923682 machine_pistol
n02788572 font
n03399677 front_porch
n03418618 gargoyle
n02904803 brocade
n01576076 golden_oriole
n03727067 mastaba
n02739889 armored_car
n11758276 golden_wattle
n03166809 death_row
n03063199 coffee_filter
n03680942 local
n04349401 subwoofer
n02871963 throwing_stick
n09305898 thermal_spring
n02403740 heifer
n02925666 buskin
n11542137 bog_moss
n03543254 hot_plate
n07704205 jook
n04403413 telephoto_lens
n11773987 rose_bay
n03253279 duckpin
n07586894 vegetable_soup
n02993194 cenotaph
n12190410 ceiba_pentandra
n02730568 appointment
n12735160 sandalwood_tree
n12277578 pedunculate_oak
n04016846 psaltery
n04249882 snifter
n03153246 cutlass
n12058630 marsh_orchid
n03451798 graffito
n02687682 air_cushion
n04304215 spaceship
n02381261 dun
n02710600 aneroid_barometer
n03973402 pocket_flap
n07915800 rob_roy
n11860555 bitterroot
n07696527 butty
n13099999 deciduous_plant
n02874442 bootjack
n02693246 air_terminal
n03251932 dry_fly
n04070207 refracting_telescope
n04131208 beauty_shop
n04020912 pullman
n03594148 javelin
n03519387 tower_block
n03781055 molotov_cocktail
n04061969 recess
n09932508 coal_miner
n12282527 betula_pendula
n03368352 flowerbed
n03978421 polling_booth
n04285965 sport_utility
n07910538 pastis
n04496614 tulle
n13882563 octagon
n15093298 vitamin_c
n08677424 veldt
n02643836 stonefish
n01997825 ostracod
n03971321 pneumatic_drill
n02833040 bethel
n03005285 chandelier
n14973585 pantothenic_acid
n03361380 fpd
n01734104 pine_snake
n03543012 hot_line
n04582205 wickerwork
n02380745 bronco
n04303357 tacker
n03674270 data_link
n07615289 sherbet
n01495006 bonnethead
n02179012 blister_beetle
n12949361 kapuka
n02769290 backhoe
n03707372 magnetic_needle
n02650541 searobin
n03879705 pallette
n09331251 lakefront
n01992773 amphipod
n12299640 salvadora_persica
n12352639 musa_acuminata
n07853445 edam
n04095342 rivet
n01858281 coscoroba
n07723039 leek
n01579729 chough
n04045085 radio_transmitter
n02578454 lookdown
n03489048 hand_throttle
n12176953 upland_cotton
n07805594 bird_food
n04538249 viscometer
n07839055 nantua
n02751215 astrolabe
n09309168 ice_floe
n03561169 ignition_switch
n03326475 fell
n04422727 thermos
n01756508 western_diamondback
n03939844 pilot_light
n02900459 bridle_path
n03082280 compound_microscope
n07567980 kibble
n01808291 rock_partridge
n03349296 firkin
n03293741 equaliser
n07740855 jonathan
n03147280 culvert
n04067818 refectory
n04150371 scow
n01481331 chimaera
n12934036 astrantia
n09452395 swamp
n03043693 clinker
n07765208 elderberry
n04459018 toupee
n03718789 mansard_roof
n13003254 death_angel
n12604460 rumex_acetosella
n08659242 coal_seam
n13025854 saccharomyces_cerevisiae
n03193107 diesel
n02180233 bark_beetle
n02926591 bustle
n01647640 western_toad
n04294879 horse_barn
n03514451 hemostat
n15102455 hardboard
n12980840 downy_mildew
n03190458 dibble
n03938037 pillory
n09906704 champion
n02976350 casement
n03268790 electric
n01479213 eptatretus
n03546112 house_paint
n03981924 donkey_cart
n04974859 ultramarine
n03383099 foresail
n03347617 fire_tower
n03981566 pontoon
n07741235 northern_spy
n03887512 paper_mill
n04041747 radio_antenna
n03914106 peplum
n03832144 nosewheel
n04069166 reflectometer
n12321873 shagbark_hickory
n03821518 newel
n07886463 aperitif
n02681392 adobe
n02962061 carboy
n12796022 bergenia
n01699254 spectacled_caiman
n12029635 coltsfoot
n02973904 carving_knife
n04472726 transmitter
n03923379 ampoule
n07616748 banana_split
n04045644 baulk
n03010795 chasuble
n03566193 incinerator
n12320806 bitternut
n04261638 sound_camera
n01782516 red_spider
n01815601 sandgrouse
n01339801 cytomegalovirus
n02907082 broom_handle
n12965626 claviceps_purpurea
n12128490 knotgrass
n04137217 satchel
n13098962 phloem
n03239054 tailcoat
n03432129 gearshift
n03992436 potsherd
n07925500 tomato_juice
n12642600 gean
n04184880 sharkskin
n04466871 scrambler
n03649674 lawn_chair
n02338145 muskrat
n07839478 roux
n12374418 rockrose
n02631775 white_marlin
n02341616 prairie_vole
n04015908 protractor
n11624192 cedrus_atlantica
n02308735 fall_webworm
n02731398 apse
n03289985 ensemble
n01610226 hen_harrier
n01484285 shortfin_mako
n11678010 cornstalk
n01663782 chelonia_mydas
n07560542 kosher
n02425532 nilgai
n10655594 steward
n01829869 hoopoe
n03553248 thermonuclear_bomb
n01717467 velociraptor
n10080869 father
n07610890 charlotte
n12351091 arrowroot
n13032923 verpa
n04165675 security_blanket
n11616852 virginia_pine
n04046974 rail_fence
n02889996 brake_cylinder
n12639376 beach_plum
n04431436 thumbscrew
n02950943 round_shot
n07831663 wine_sauce
n03322704 green_market
n03195959 dat
n11623967 deodar
n12454159 tulip
n11835251 greasewood
n07936093 sugar_water
n07608098 marshmallow
n03727605 masterpiece
n02898585 wedding_gown
n07913644 bullshot
n04164406 second_base
n02124484 manx
n03456548 greasy_spoon
n03349771 first_base
n02382039 cayuse
n03049924 flat_cap
n07823698 cranberry_sauce
n08517676 bus_stop
n02710201 mechanical_man
n03886762 paperclip
n04070964 refrigerator_car
n11697560 barberry
n00452034 bullfighting
n03053047 clove_hitch
n03158186 dacha
n03415252 gamp
n04075715 rendering
n00326094 rock_climbing
n01672432 spiny_softshell
n01407798 green_algae
n04455652 topsail
n03913343 pentode
n02538985 whitefish
n12261571 copper_beech
n02360282 chipmunk
n03057920 coat_hanger
n03986562 porthole
n04541987 voting_booth
n02853218 blockade
n07749870 key_lime
n02153109 big_game
n11624531 spruce
n13181811 walking_fern
n11735570 golden_seal
n07690273 muffin
n02631330 blue_marlin
n04546340 walkman
n15086247 flaxseed
n03643253 laser
n02742468 arrester
n07744811 blackberry
n01904886 oyster_shell
n02736798 argyll
n07756951 watermelon
n02006364 sacred_ibis
n02428508 gemsbok
n08551296 eparchy
n01614038 harpy_eagle
n04168541 seine
n04312154 steelyard
n04110439 positioner
n02883101 bowstring
n02287004 geometrid
n02201000 aedes_albopictus
n03668067 lightning_conductor
n01953361 cowry
n06883725 swastika
n04349306 subway_train
n02124623 wildcat
n11791341 philodendron
n04095109 ritz
n03239607 drift_net
n03585778 iron_horse
n13868515 s_shape
n09415584 riverbank
n09405078 rangeland
n13882487 heptagon
n12074867 bee_orchid
n07869937 kedgeree
n01486838 nurse_shark
n02047411 common_murre
n11675025 rosebud
n03699754 machicolation
n12122725 yorkshire_fog
n03206718 disguise
n12729315 black_willow
n01323355 sire
n04539407 viyella
n07561848 balanced_diet
n02069974 tursiops_truncatus
n04430896 thumb
n13155095 bracteole
n11950345 chrysanthemum
n04378489 tabard
n01497738 guitarfish
n01831360 tody
n07588193 wonton
n02961225 car_battery
n02839592 billiard_parlor
n04229737 ski_lodge
n12831535 columnea
n07599911 peanut_brittle
n02397744 collared_peccary
n04518643 valenciennes
n04386051 tailstock
n03128427 crazy_quilt
n02755529 attack_submarine
n04112430 rotor_head
n02892499 brasserie
n07615569 tutti_frutti
n03196598 digital_display
n02953197 cantilever_bridge
n07589543 brunswick_stew
n02977330 cashmere
n04585318 wimple
n03252324 dry_masonry
n04028074 putter
n03005285 pendent
n02038993 pratincole
n00141669 check_in
n04168840 seismograph
n03471030 gusher
n12823717 convolvulus
n03164344 information_system
n02921756 burglar_alarm
n07902336 aqua_vitae
n02574271 cobia
n03906224 pegboard
n03307037 extension_cord
n07774295 hickory_nut
n04030414 pyxis
n11664418 ginkgo_biloba
n02027897 greenshank
n12765846 spondias_mombin
n03903133 peavy
n13150378 cubeb
n04500060 turner
n09348460 massif
n03844965 oil_slick
n09224725 bluff
n02227247 locusta_migratoria
n03912821 penthouse
n01441117 dace
n12128071 paspalum
n03517647 hideaway
n02339922 packrat
n02864593 bollard
n04077889 research_center
n01880473 potoroo
n11690455 flower_petal
n09257843 cove
n07859951 molasses
n11879722 colza
n07711080 french_fries
n03426134 gas_tank
n02019190 great_bustard
n12779603 pitcher_plant
n07893425 sacramental_wine
n02451415 tayra
n01860497 screamer
n01538059 reed_bunting
n07727458 black_bean
n03408340 fustian
n01340522 polyoma_virus
n01619835 vultur_gryphus
n01736375 ground_snake
n02061217 stormy_petrel
n07721195 pimento
n03122295 conestoga
n04208065 shoulder_patch
n03272810 power_meter
n04131929 salver
n04045644 rafter
n07804900 paddy
n12808007 arizona_sycamore
n03190458 dibber
n07616386 parfait
n02377063 ridgling
n12965626 ergot
n11632167 cupressus_macrocarpa
n13219422 horsetail
n02568959 grouper
n04969540 steel_blue
n04210120 shredder
n01612275 merlin
n04513827 upholstery
n03849814 opera_house
n12834798 waterleaf
n00442981 diving
n04267435 spanker
n10707233 healer
n04385799 tail_rotor
n03743279 megaphone
n07722485 spring_onion
n12681579 black_haw
n07843464 souffle
n11769176 desert_rose
n04102406 big_dipper
n12646605 fuji
n01744100 reticulated_python
n03947798 pique
n12091953 polyanthus
n02761206 automation
n02932693 economy_class
n07848093 sour_cream
n04082710 retaining_wall
n02380745 bronc
n04503499 twinjet
n03449309 gouge
n02607470 sergeant_major
n13004423 chanterelle
n10562135 scorekeeper
n03171635 defibrillator
n08495908 aphelion
n07915491 mint_julep
n07808587 slaw
n12201580 cacao_tree
n04367371 suture
n01912454 siphonophore
n11619227 tamarack
n02519472 brown_bullhead
n08500989 interstellar_space
n15092227 cholecalciferol
n15091669 vitamin_b6
n02093056 bull_terrier
n07605040 candyfloss
n07834872 russian_dressing
n02587300 mangrove_snapper
n02875948 borstal
n12154773 screw_pine
n01631354 taricha_granulosa
n03465818 guidance_system
n03090000 conference_table
n03042139 clevis
n02379430 walking_horse
n04403524 teleprompter
n03195332 digester
n02238594 lace_bug
n13154494 frond
n04592596 wineskin
n00449517 car_racing
n04156591 scuffle
n03801353 music_box
n11730015 blue_jasmine
n11954161 creeping_thistle
n00466630 match_play
n03622526 klystron
n02361587 groundhog
n03996849 power_steering
n04973020 topaz
n07605804 panocha
n08677424 veld
n02432291 white_tail
n00474769 hardball
n04257790 solar_battery
n09452760 swell
n10007995 hotel_clerk
n04278932 spinning_frame
n03878828 palette_knife
n08547468 cow_pasture
n01569060 blackburn
n03063485 coffee_mill
n04104384 roman_arch
n12343480 fuchsia
n04187233 overlay
n04287747 spray_gun
n02747802 ashtray
n09896685 carpenter
n04470741 transdermal_patch
n02782681 ballot_box
n02898369 brickwork
n08494231 funfair
n03892178 parquet_floor
n02964843 cargo_container
n03536122 horizontal_stabilizer
n04072551 rein
n03437741 gingham
n12725738 white_willow
n04062807 scout_car
n04210591 shrink_wrap
n03292475 epee
n13154388 pinnule
n03390673 frail
n02811936 battlement
n01649170 spadefoot
n01751215 banded_krait
n03864139 overhand_knot
n07760755 thompson_seedless
n03954393 planchet
n04410565 tenpin
n04172512 sennit
n02716626 abm
n12621945 cherokee_rose
n04266162 space_station
n07888465 white_beer
n02833403 bevel
n04973816 indian_red
n03086457 concert_grand
n02030837 willet
n02003204 marabout
n03212406 distaff
n12475035 wild_oats
n04967882 bottle_green
n03949145 piston_ring
n02072493 narwhal
n12771390 kaki
n03729482 matchlock
n02213788 yellow_jacket
n12870048 marum
n02761696 car_factory
n03561047 ignition_key
n01539925 house_sparrow
n03401129 fuel_gauge
n07901355 marsala
n02291748 clothes_moth
n13185658 doodia
n03211789 display_window
n03635330 lame
n04087709 ribbed_vault
n03703862 madras
n12269241 live_oak
n07852919 cheddar
n01419888 giardia
n02950018 cannery
n03683995 locket
n07693590 danish_pastry
n02699915 altazimuth
n07828378 monosodium_glutamate
n12920204 christmas_star
n07914271 smoothie
n09251407 comet
n12729729 red_willow
n04486616 troika
n02391373 mountain_zebra
n03882611 paneling
n12624568 japonica
n12521394 cytisus_scoparius
n07865196 chop_suey
n07585758 gazpacho
n04280259 spiral_spring
n03077616 common_room
n03935234 piggery
n11533212 basidiocarp
n12522894 sissoo
n02327842 snowshoe_hare
n07842753 omelet
n07696839 club_sandwich
n02678897 adapter
n02146371 brown_bat
n02931294 cabana
n02424909 nyala
n08659331 coalface
n15091669 pyridoxal
n02023855 piping_plover
n01378545 myxobacteria
n02624987 tinker
n12753007 silver_maple
n01965529 zebra_mussel
n09344724 maar
n03902220 pc_board
n04003241 primus
n03127203 crankcase
n02907082 broomstick
n04301760 standard_transmission
n07838811 mushroom_sauce
n03097673 control_key
n12086778 vanilla_planifolia
n09858165 black_belt
n04259468 sabaton
n11923174 mayweed
n04419073 theodolite
n02129923 tigress
n01593553 verdin
n01637112 climbing_salamander
n04541662 vomitory
n03204134 dipole
n07768068 bosc
n04466871 trail_bike
n03319457 false_face
n03868406 oxford
n01563128 warbler
n12523475 brazilian_rosewood
n04431025 thumbhole
n03770316 ministry
n03349892 first_class
n03180865 single_dwelling
n03089477 cone_clutch
n02981321 catalytic_converter
n04510706 universal_joint
n13879049 quadrate
n11682659 gemma
n15091846 folate
n02780315 roller_bearing
n03360133 flat_arch
n03364599 float
n04224842 sitar
n03693860 lowboy
n03569494 inflator
n04562262 water_ski
n02770211 back_porch
n02065026 finback
n02404906 zebu
n03029445 butter_churn
n05526957 foreskin
n02482650 bonobo
n04089836 riding_crop
n02942147 cambric
n03382104 forecastle
n12596709 royal_palm
n12118661 ragi
n07770763 pumpkin_seed
n03894051 particle_detector
n04173046 septic_tank
n01469103 sea_squirt
n01467804 amphioxus
n03402941 funeral_chapel
n04041243 radiator_cap
n12304703 fraxinus_excelsior
n04086066 revetment
n12696492 neem
n02536165 sockeye
n02379908 arabian
n01350701 yersinia_pestis
n09877951 pal
n12070016 laelia
n03502200 headboard
n07920349 cappuccino
n03853924 ordinary
n07607361 licorice
n12006930 mexican_hat
n03466839 guildhall
n12117695 barnyard_grass
n12365900 clusia
n07800740 fodder
n05458576 oocyte
n02366959 coypu
n03497100 hash_house
n03085781 computer_store
n07859142 saccharin
n02174659 cockchafer
n03215076 diwan
n09376526 sea_bottom
n04108822 rope_bridge
n03205458 dirk
n02491107 tamarin
n07711232 home_fries
n01589286 creeper
n04251791 snowboard
n03716887 mandola
n11978713 mirasol
n12154773 pandanus
n02863426 bodywork
n10701644 tennis_pro
n02439398 okapi
n09249034 col
n02064000 bowhead_whale
n03016737 chicken_run
n11943407 calendula
n02337001 peromyscus_maniculatus
n03142431 crypt
n02771004 backspace
n02731398 apsis
n03013850 chenille
n04266968 spaghetti_junction
n04351699 suiting
n03551395 hydraulic_press
n11790936 peltandra_virginica
n02386746 packhorse
n02778294 baldric
n03465718 guestroom
n04467506 trailer_park
n12332030 pitanga
n03440682 glockenspiel
n03250089 drum_brake
n04973291 ecru
n01462803 morula
n03533654 hookup
n09475925 waterside
n04252331 snowshoe
n03784896 horseshoe_arch
n03470948 gurney
n03099274 convenience_store
n13171797 water_sprite
n02325722 eastern_cottontail
n03035832 gittern
n09893502 captive
n02404028 maverick
n13044375 giant_puffball
n07591330 scouse
n09436708 sky
n01847806 mallard
n06267655 gazette
n12120347 teff
n03239054 full_dress
